k,a,ref,res,ratio
2,0.01,2500,28621254.27,1.3578092184601929
2,0.01,5000,28002643.41,0.9783863119986181
2,0.01,7500,28033150.42,1.0010894332207618
2,0.01,10000,28215663.63,1.0065106207210226
