k,a,ref,res,ratio
3,0.1,2500,27990795.78,0.8728905566076344
3,0.1,5000,28335808.62,1.0123259389519221
3,0.1,7500,28611344.14,1.0097239335462451
3,0.1,10000,28940651.3,1.0115096710727272
