k,a,ref,res,ratio
4,1,2500,25900607.68,0.9688597421718154
4,1,5000,26191268.63,1.0112221672012909
4,1,7500,26488661.82,1.0113546691533437
4,1,10000,26759893.43,1.0102395361397687
