Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 773999.86 | 30.87   
25          | 0      | 2      | 748410.49 | 0.97    
25          | 0      | 3      | 757536.38 | 1.01    
25          | 0      | 4      | 810990.29 | 1.07    
25          | 0      | 5      | 859636.93 | 1.06    
25          | 0.01   | 1      | 1042346.32 | 1.21    
25          | 0.01   | 2      | 932245.13 | 0.89    
25          | 0.01   | 3      | 993038.36 | 1.07    
25          | 0.01   | 4      | 960726.11 | 0.97    
25          | 0.01   | 5      | 914867.85 | 0.95    
25          | 0.1    | 1      | 989652.29 | 1.08    
25          | 0.1    | 2      | 873830.50 | 0.88    
25          | 0.1    | 3      | 915053.82 | 1.05    
25          | 0.1    | 4      | 906481.53 | 0.99    
25          | 0.1    | 5      | 894749.75 | 0.99    
25          | 1      | 1      | 938170.52 | 1.05    
25          | 1      | 2      | 845278.44 | 0.90    
25          | 1      | 3      | 885072.61 | 1.05    
25          | 1      | 4      | 895359.03 | 1.01    
25          | 1      | 5      | 895194.26 | 1.00    
50          | 0      | 1      | 773999.86 | 0.86    
50          | 0      | 2      | 748410.49 | 0.97    
50          | 0      | 3      | 757536.38 | 1.01    
50          | 0      | 4      | 810990.29 | 1.07    
50          | 0      | 5      | 859636.93 | 1.06    
50          | 0.01   | 1      | 1042346.32 | 1.21    
50          | 0.01   | 2      | 932245.13 | 0.89    
50          | 0.01   | 3      | 993038.36 | 1.07    
50          | 0.01   | 4      | 960726.11 | 0.97    
50          | 0.01   | 5      | 914867.85 | 0.95    
50          | 0.1    | 1      | 989652.29 | 1.08    
50          | 0.1    | 2      | 873830.50 | 0.88    
50          | 0.1    | 3      | 915053.82 | 1.05    
50          | 0.1    | 4      | 906481.53 | 0.99    
50          | 0.1    | 5      | 894749.75 | 0.99    
50          | 1      | 1      | 938170.52 | 1.05    
50          | 1      | 2      | 845278.44 | 0.90    
50          | 1      | 3      | 885072.61 | 1.05    
50          | 1      | 4      | 895359.03 | 1.01    
50          | 1      | 5      | 895194.26 | 1.00    
100         | 0      | 1      | 773999.86 | 0.86    
100         | 0      | 2      | 748410.49 | 0.97    
100         | 0      | 3      | 757536.38 | 1.01    
100         | 0      | 4      | 810990.29 | 1.07    
100         | 0      | 5      | 859636.93 | 1.06    
100         | 0.01   | 1      | 1042346.32 | 1.21    
100         | 0.01   | 2      | 932245.13 | 0.89    
100         | 0.01   | 3      | 993038.36 | 1.07    
100         | 0.01   | 4      | 960726.11 | 0.97    
100         | 0.01   | 5      | 914867.85 | 0.95    
100         | 0.1    | 1      | 989652.29 | 1.08    
100         | 0.1    | 2      | 873830.50 | 0.88    
100         | 0.1    | 3      | 915053.82 | 1.05    
100         | 0.1    | 4      | 906481.53 | 0.99    
100         | 0.1    | 5      | 894749.75 | 0.99    
100         | 1      | 1      | 938170.52 | 1.05    
100         | 1      | 2      | 845278.44 | 0.90    
100         | 1      | 3      | 885072.61 | 1.05    
100         | 1      | 4      | 895359.03 | 1.01    
100         | 1      | 5      | 895194.26 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_hungarian.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 22245380.06 | 24.85   
25          | 0      | 2      | 21257537.07 | 0.96    
25          | 0      | 3      | 22470829.16 | 1.06    
25          | 0      | 4      | 23863406.99 | 1.06    
25          | 0      | 5      | 24683690.37 | 1.03    
25          | 0.01   | 1      | 24817583.03 | 1.01    
25          | 0.01   | 2      | 29670990.53 | 1.20    
25          | 0.01   | 3      | 30159806.78 | 1.02    
25          | 0.01   | 4      | 27187541.89 | 0.90    
25          | 0.01   | 5      | 25677080.34 | 0.94    
25          | 0.1    | 1      | 24179434.26 | 0.94    
25          | 0.1    | 2      | 27001955.98 | 1.12    
25          | 0.1    | 3      | 27231696.03 | 1.01    
25          | 0.1    | 4      | 25816513.79 | 0.95    
25          | 0.1    | 5      | 25231299.49 | 0.98    
25          | 1      | 1      | 23603147.26 | 0.94    
25          | 1      | 2      | 25351523.43 | 1.07    
25          | 1      | 3      | 25730015.88 | 1.01    
25          | 1      | 4      | 25270487.79 | 0.98    
25          | 1      | 5      | 25128042.51 | 0.99    
50          | 0      | 1      | 22245380.06 | 0.89    
50          | 0      | 2      | 21257537.07 | 0.96    
50          | 0      | 3      | 22470829.16 | 1.06    
50          | 0      | 4      | 23863406.99 | 1.06    
50          | 0      | 5      | 24683690.37 | 1.03    
50          | 0.01   | 1      | 24817583.03 | 1.01    
50          | 0.01   | 2      | 29670990.53 | 1.20    
50          | 0.01   | 3      | 30159806.78 | 1.02    
50          | 0.01   | 4      | 27187541.89 | 0.90    
50          | 0.01   | 5      | 25677080.34 | 0.94    
50          | 0.1    | 1      | 24179434.26 | 0.94    
50          | 0.1    | 2      | 27001955.98 | 1.12    
50          | 0.1    | 3      | 27231696.03 | 1.01    
50          | 0.1    | 4      | 25816513.79 | 0.95    
50          | 0.1    | 5      | 25231299.49 | 0.98    
50          | 1      | 1      | 23603147.26 | 0.94    
50          | 1      | 2      | 25351523.43 | 1.07    
50          | 1      | 3      | 25730015.88 | 1.01    
50          | 1      | 4      | 25270487.79 | 0.98    
50          | 1      | 5      | 25128042.51 | 0.99    
100         | 0      | 1      | 22245380.06 | 0.89    
100         | 0      | 2      | 21257537.07 | 0.96    
100         | 0      | 3      | 22470829.16 | 1.06    
100         | 0      | 4      | 23863406.99 | 1.06    
100         | 0      | 5      | 24683690.37 | 1.03    
100         | 0.01   | 1      | 24817583.03 | 1.01    
100         | 0.01   | 2      | 29670990.53 | 1.20    
100         | 0.01   | 3      | 30159806.78 | 1.02    
100         | 0.01   | 4      | 27187541.89 | 0.90    
100         | 0.01   | 5      | 25677080.34 | 0.94    
100         | 0.1    | 1      | 24179434.26 | 0.94    
100         | 0.1    | 2      | 27001955.98 | 1.12    
100         | 0.1    | 3      | 27231696.03 | 1.01    
100         | 0.1    | 4      | 25816513.79 | 0.95    
100         | 0.1    | 5      | 25231299.49 | 0.98    
100         | 1      | 1      | 23603147.26 | 0.94    
100         | 1      | 2      | 25351523.43 | 1.07    
100         | 1      | 3      | 25730015.88 | 1.01    
100         | 1      | 4      | 25270487.79 | 0.98    
100         | 1      | 5      | 25128042.51 | 0.99    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_portuguese.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 15383496.07 | 0.61    
25          | 0      | 2      | 15511145.11 | 1.01    
25          | 0      | 3      | 16216807.50 | 1.05    
25          | 0      | 4      | 17782904.72 | 1.10    
25          | 0      | 5      | 19714801.74 | 1.11    
25          | 0.01   | 1      | 16019248.92 | 0.81    
25          | 0.01   | 2      | 18109288.58 | 1.13    
25          | 0.01   | 3      | 21100703.32 | 1.17    
25          | 0.01   | 4      | 22010493.64 | 1.04    
25          | 0.01   | 5      | 22679533.02 | 1.03    
25          | 0.1    | 1      | 15962061.96 | 0.70    
25          | 0.1    | 2      | 17420610.59 | 1.09    
25          | 0.1    | 3      | 19517143.76 | 1.12    
25          | 0.1    | 4      | 20541862.27 | 1.05    
25          | 0.1    | 5      | 21768455.38 | 1.06    
25          | 1      | 1      | 15909772.69 | 0.73    
25          | 1      | 2      | 17024791.06 | 1.07    
25          | 1      | 3      | 18893335.68 | 1.11    
25          | 1      | 4      | 20509641.35 | 1.09    
25          | 1      | 5      | 22231141.90 | 1.08    
50          | 0      | 1      | 15383496.07 | 0.69    
50          | 0      | 2      | 15511145.11 | 1.01    
50          | 0      | 3      | 16216807.50 | 1.05    
50          | 0      | 4      | 17782904.72 | 1.10    
50          | 0      | 5      | 19714801.74 | 1.11    
50          | 0.01   | 1      | 16019248.92 | 0.81    
50          | 0.01   | 2      | 18109288.58 | 1.13    
50          | 0.01   | 3      | 21100703.32 | 1.17    
50          | 0.01   | 4      | 22010493.64 | 1.04    
50          | 0.01   | 5      | 22679533.02 | 1.03    
50          | 0.1    | 1      | 15962061.96 | 0.70    
50          | 0.1    | 2      | 17420610.59 | 1.09    
50          | 0.1    | 3      | 19517143.76 | 1.12    
50          | 0.1    | 4      | 20541862.27 | 1.05    
50          | 0.1    | 5      | 21768455.38 | 1.06    
50          | 1      | 1      | 15909772.69 | 0.73    
50          | 1      | 2      | 17024791.06 | 1.07    
50          | 1      | 3      | 18893335.68 | 1.11    
50          | 1      | 4      | 20509641.35 | 1.09    
50          | 1      | 5      | 22231141.90 | 1.08    
100         | 0      | 1      | 15383496.07 | 0.69    
100         | 0      | 2      | 15511145.11 | 1.01    
100         | 0      | 3      | 16216807.50 | 1.05    
100         | 0      | 4      | 17782904.72 | 1.10    
100         | 0      | 5      | 19714801.74 | 1.11    
100         | 0.01   | 1      | 16019248.92 | 0.81    
100         | 0.01   | 2      | 18109288.58 | 1.13    
100         | 0.01   | 3      | 21100703.32 | 1.17    
100         | 0.01   | 4      | 22010493.64 | 1.04    
100         | 0.01   | 5      | 22679533.02 | 1.03    
100         | 0.1    | 1      | 15962061.96 | 0.70    
100         | 0.1    | 2      | 17420610.59 | 1.09    
100         | 0.1    | 3      | 19517143.76 | 1.12    
100         | 0.1    | 4      | 20541862.27 | 1.05    
100         | 0.1    | 5      | 21768455.38 | 1.06    
100         | 1      | 1      | 15909772.69 | 0.73    
100         | 1      | 2      | 17024791.06 | 1.07    
100         | 1      | 3      | 18893335.68 | 1.11    
100         | 1      | 4      | 20509641.35 | 1.09    
100         | 1      | 5      | 22231141.90 | 1.08    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_small_pt_en.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 1195.91  | 0.00    
25          | 0      | 2      | 1142.43  | 0.96    
25          | 0      | 3      | 1083.04  | 0.95    
25          | 0      | 4      | 1089.95  | 1.01    
25          | 0      | 5      | 1183.50  | 1.09    
25          | 0.01   | 1      | 1270.59  | 1.07    
25          | 0.01   | 2      | 1390.04  | 1.09    
25          | 0.01   | 3      | 1476.68  | 1.06    
25          | 0.01   | 4      | 1392.42  | 0.94    
25          | 0.01   | 5      | 1426.83  | 1.02    
25          | 0.1    | 1      | 1259.33  | 0.88    
25          | 0.1    | 2      | 1327.61  | 1.05    
25          | 0.1    | 3      | 1361.48  | 1.03    
25          | 0.1    | 4      | 1314.55  | 0.97    
25          | 0.1    | 5      | 1366.80  | 1.04    
25          | 1      | 1      | 1249.54  | 0.91    
25          | 1      | 2      | 1291.47  | 1.03    
25          | 1      | 3      | 1318.97  | 1.02    
25          | 1      | 4      | 1323.75  | 1.00    
25          | 1      | 5      | 1402.35  | 1.06    
50          | 0      | 1      | 1195.91  | 0.85    
50          | 0      | 2      | 1142.43  | 0.96    
50          | 0      | 3      | 1083.04  | 0.95    
50          | 0      | 4      | 1089.95  | 1.01    
50          | 0      | 5      | 1183.50  | 1.09    
50          | 0.01   | 1      | 1270.59  | 1.07    
50          | 0.01   | 2      | 1390.04  | 1.09    
50          | 0.01   | 3      | 1476.68  | 1.06    
50          | 0.01   | 4      | 1392.42  | 0.94    
50          | 0.01   | 5      | 1426.83  | 1.02    
50          | 0.1    | 1      | 1259.33  | 0.88    
50          | 0.1    | 2      | 1327.61  | 1.05    
50          | 0.1    | 3      | 1361.48  | 1.03    
50          | 0.1    | 4      | 1314.55  | 0.97    
50          | 0.1    | 5      | 1366.80  | 1.04    
50          | 1      | 1      | 1249.54  | 0.91    
50          | 1      | 2      | 1291.47  | 1.03    
50          | 1      | 3      | 1318.97  | 1.02    
50          | 1      | 4      | 1323.75  | 1.00    
50          | 1      | 5      | 1402.35  | 1.06    
100         | 0      | 1      | 1195.91  | 0.85    
100         | 0      | 2      | 1142.43  | 0.96    
100         | 0      | 3      | 1083.04  | 0.95    
100         | 0      | 4      | 1089.95  | 1.01    
100         | 0      | 5      | 1183.50  | 1.09    
100         | 0.01   | 1      | 1270.59  | 1.07    
100         | 0.01   | 2      | 1390.04  | 1.09    
100         | 0.01   | 3      | 1476.68  | 1.06    
100         | 0.01   | 4      | 1392.42  | 0.94    
100         | 0.01   | 5      | 1426.83  | 1.02    
100         | 0.1    | 1      | 1259.33  | 0.88    
100         | 0.1    | 2      | 1327.61  | 1.05    
100         | 0.1    | 3      | 1361.48  | 1.03    
100         | 0.1    | 4      | 1314.55  | 0.97    
100         | 0.1    | 5      | 1366.80  | 1.04    
100         | 1      | 1      | 1249.54  | 0.91    
100         | 1      | 2      | 1291.47  | 1.03    
100         | 1      | 3      | 1318.97  | 1.02    
100         | 1      | 4      | 1323.75  | 1.00    
100         | 1      | 5      | 1402.35  | 1.06    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/1_br.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 17277.82 | 12.32   
25          | 0      | 2      | 16145.68 | 0.93    
25          | 0      | 3      | 16878.84 | 1.05    
25          | 0      | 4      | 18563.62 | 1.10    
25          | 0      | 5      | 20341.12 | 1.10    
25          | 0.01   | 1      | 19837.37 | 0.98    
25          | 0.01   | 2      | 20117.69 | 1.01    
25          | 0.01   | 3      | 22489.31 | 1.12    
25          | 0.01   | 4      | 23181.84 | 1.03    
25          | 0.01   | 5      | 23303.20 | 1.01    
25          | 0.1    | 1      | 19403.64 | 0.83    
25          | 0.1    | 2      | 19273.16 | 0.99    
25          | 0.1    | 3      | 20842.54 | 1.08    
25          | 0.1    | 4      | 21841.10 | 1.05    
25          | 0.1    | 5      | 22349.07 | 1.02    
25          | 1      | 1      | 18980.16 | 0.85    
25          | 1      | 2      | 18846.47 | 0.99    
25          | 1      | 3      | 20152.71 | 1.07    
25          | 1      | 4      | 21692.57 | 1.08    
25          | 1      | 5      | 22583.17 | 1.04    
50          | 0      | 1      | 17277.82 | 0.77    
50          | 0      | 2      | 16145.68 | 0.93    
50          | 0      | 3      | 16878.84 | 1.05    
50          | 0      | 4      | 18563.62 | 1.10    
50          | 0      | 5      | 20341.12 | 1.10    
50          | 0.01   | 1      | 19837.37 | 0.98    
50          | 0.01   | 2      | 20117.69 | 1.01    
50          | 0.01   | 3      | 22489.31 | 1.12    
50          | 0.01   | 4      | 23181.84 | 1.03    
50          | 0.01   | 5      | 23303.20 | 1.01    
50          | 0.1    | 1      | 19403.64 | 0.83    
50          | 0.1    | 2      | 19273.16 | 0.99    
50          | 0.1    | 3      | 20842.54 | 1.08    
50          | 0.1    | 4      | 21841.10 | 1.05    
50          | 0.1    | 5      | 22349.07 | 1.02    
50          | 1      | 1      | 18980.16 | 0.85    
50          | 1      | 2      | 18846.47 | 0.99    
50          | 1      | 3      | 20152.71 | 1.07    
50          | 1      | 4      | 21692.57 | 1.08    
50          | 1      | 5      | 22583.17 | 1.04    
100         | 0      | 1      | 17277.82 | 0.77    
100         | 0      | 2      | 16145.68 | 0.93    
100         | 0      | 3      | 16878.84 | 1.05    
100         | 0      | 4      | 18563.62 | 1.10    
100         | 0      | 5      | 20341.12 | 1.10    
100         | 0.01   | 1      | 19837.37 | 0.98    
100         | 0.01   | 2      | 20117.69 | 1.01    
100         | 0.01   | 3      | 22489.31 | 1.12    
100         | 0.01   | 4      | 23181.84 | 1.03    
100         | 0.01   | 5      | 23303.20 | 1.01    
100         | 0.1    | 1      | 19403.64 | 0.83    
100         | 0.1    | 2      | 19273.16 | 0.99    
100         | 0.1    | 3      | 20842.54 | 1.08    
100         | 0.1    | 4      | 21841.10 | 1.05    
100         | 0.1    | 5      | 22349.07 | 1.02    
100         | 1      | 1      | 18980.16 | 0.85    
100         | 1      | 2      | 18846.47 | 0.99    
100         | 1      | 3      | 20152.71 | 1.07    
100         | 1      | 4      | 21692.57 | 1.08    
100         | 1      | 5      | 22583.17 | 1.04    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_french.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 18683013.96 | 827.30  
25          | 0      | 2      | 19425073.16 | 1.04    
25          | 0      | 3      | 20133586.95 | 1.04    
25          | 0      | 4      | 21971252.09 | 1.09    
25          | 0      | 5      | 23970244.85 | 1.09    
25          | 0.01   | 1      | 19675287.62 | 0.82    
25          | 0.01   | 2      | 22794270.70 | 1.16    
25          | 0.01   | 3      | 26899542.86 | 1.18    
25          | 0.01   | 4      | 27210697.88 | 1.01    
25          | 0.01   | 5      | 26748493.14 | 0.98    
25          | 0.1    | 1      | 19431216.97 | 0.73    
25          | 0.1    | 2      | 21794349.87 | 1.12    
25          | 0.1    | 3      | 24601665.15 | 1.13    
25          | 0.1    | 4      | 25330717.00 | 1.03    
25          | 0.1    | 5      | 25746052.55 | 1.02    
25          | 1      | 1      | 19240505.31 | 0.75    
25          | 1      | 2      | 21160259.65 | 1.10    
25          | 1      | 3      | 23558449.79 | 1.11    
25          | 1      | 4      | 24883944.58 | 1.06    
25          | 1      | 5      | 25756699.42 | 1.04    
50          | 0      | 1      | 18683013.96 | 0.73    
50          | 0      | 2      | 19425073.16 | 1.04    
50          | 0      | 3      | 20133586.95 | 1.04    
50          | 0      | 4      | 21971252.09 | 1.09    
50          | 0      | 5      | 23970244.85 | 1.09    
50          | 0.01   | 1      | 19675287.62 | 0.82    
50          | 0.01   | 2      | 22794270.70 | 1.16    
50          | 0.01   | 3      | 26899542.86 | 1.18    
50          | 0.01   | 4      | 27210697.88 | 1.01    
50          | 0.01   | 5      | 26748493.14 | 0.98    
50          | 0.1    | 1      | 19431216.97 | 0.73    
50          | 0.1    | 2      | 21794349.87 | 1.12    
50          | 0.1    | 3      | 24601665.15 | 1.13    
50          | 0.1    | 4      | 25330717.00 | 1.03    
50          | 0.1    | 5      | 25746052.55 | 1.02    
50          | 1      | 1      | 19240505.31 | 0.75    
50          | 1      | 2      | 21160259.65 | 1.10    
50          | 1      | 3      | 23558449.79 | 1.11    
50          | 1      | 4      | 24883944.58 | 1.06    
50          | 1      | 5      | 25756699.42 | 1.04    
100         | 0      | 1      | 18683013.96 | 0.73    
100         | 0      | 2      | 19425073.16 | 1.04    
100         | 0      | 3      | 20133586.95 | 1.04    
100         | 0      | 4      | 21971252.09 | 1.09    
100         | 0      | 5      | 23970244.85 | 1.09    
100         | 0.01   | 1      | 19675287.62 | 0.82    
100         | 0.01   | 2      | 22794270.70 | 1.16    
100         | 0.01   | 3      | 26899542.86 | 1.18    
100         | 0.01   | 4      | 27210697.88 | 1.01    
100         | 0.01   | 5      | 26748493.14 | 0.98    
100         | 0.1    | 1      | 19431216.97 | 0.73    
100         | 0.1    | 2      | 21794349.87 | 1.12    
100         | 0.1    | 3      | 24601665.15 | 1.13    
100         | 0.1    | 4      | 25330717.00 | 1.03    
100         | 0.1    | 5      | 25746052.55 | 1.02    
100         | 1      | 1      | 19240505.31 | 0.75    
100         | 1      | 2      | 21160259.65 | 1.10    
100         | 1      | 3      | 23558449.79 | 1.11    
100         | 1      | 4      | 24883944.58 | 1.06    
100         | 1      | 5      | 25756699.42 | 1.04    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_danish.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 18288470.91 | 0.71    
25          | 0      | 2      | 18199286.93 | 1.00    
25          | 0      | 3      | 18900792.80 | 1.04    
25          | 0      | 4      | 20446399.87 | 1.08    
25          | 0      | 5      | 21716196.49 | 1.06    
25          | 0.01   | 1      | 19559584.96 | 0.90    
25          | 0.01   | 2      | 23367889.34 | 1.19    
25          | 0.01   | 3      | 25054196.46 | 1.07    
25          | 0.01   | 4      | 24832604.05 | 0.99    
25          | 0.01   | 5      | 23553854.96 | 0.95    
25          | 0.1    | 1      | 19240759.10 | 0.82    
25          | 0.1    | 2      | 21851304.45 | 1.14    
25          | 0.1    | 3      | 22939495.94 | 1.05    
25          | 0.1    | 4      | 23168618.70 | 1.01    
25          | 0.1    | 5      | 22816754.81 | 0.98    
25          | 1      | 1      | 18941613.67 | 0.83    
25          | 1      | 2      | 20909036.53 | 1.10    
25          | 1      | 3      | 21983637.64 | 1.05    
25          | 1      | 4      | 22640203.20 | 1.03    
25          | 1      | 5      | 22734613.32 | 1.00    
50          | 0      | 1      | 18288470.91 | 0.80    
50          | 0      | 2      | 18199286.93 | 1.00    
50          | 0      | 3      | 18900792.80 | 1.04    
50          | 0      | 4      | 20446399.87 | 1.08    
50          | 0      | 5      | 21716196.49 | 1.06    
50          | 0.01   | 1      | 19559584.96 | 0.90    
50          | 0.01   | 2      | 23367889.34 | 1.19    
50          | 0.01   | 3      | 25054196.46 | 1.07    
50          | 0.01   | 4      | 24832604.05 | 0.99    
50          | 0.01   | 5      | 23553854.96 | 0.95    
50          | 0.1    | 1      | 19240759.10 | 0.82    
50          | 0.1    | 2      | 21851304.45 | 1.14    
50          | 0.1    | 3      | 22939495.94 | 1.05    
50          | 0.1    | 4      | 23168618.70 | 1.01    
50          | 0.1    | 5      | 22816754.81 | 0.98    
50          | 1      | 1      | 18941613.67 | 0.83    
50          | 1      | 2      | 20909036.53 | 1.10    
50          | 1      | 3      | 21983637.64 | 1.05    
50          | 1      | 4      | 22640203.20 | 1.03    
50          | 1      | 5      | 22734613.32 | 1.00    
100         | 0      | 1      | 18288470.91 | 0.80    
100         | 0      | 2      | 18199286.93 | 1.00    
100         | 0      | 3      | 18900792.80 | 1.04    
100         | 0      | 4      | 20446399.87 | 1.08    
100         | 0      | 5      | 21716196.49 | 1.06    
100         | 0.01   | 1      | 19559584.96 | 0.90    
100         | 0.01   | 2      | 23367889.34 | 1.19    
100         | 0.01   | 3      | 25054196.46 | 1.07    
100         | 0.01   | 4      | 24832604.05 | 0.99    
100         | 0.01   | 5      | 23553854.96 | 0.95    
100         | 0.1    | 1      | 19240759.10 | 0.82    
100         | 0.1    | 2      | 21851304.45 | 1.14    
100         | 0.1    | 3      | 22939495.94 | 1.05    
100         | 0.1    | 4      | 23168618.70 | 1.01    
100         | 0.1    | 5      | 22816754.81 | 0.98    
100         | 1      | 1      | 18941613.67 | 0.83    
100         | 1      | 2      | 20909036.53 | 1.10    
100         | 1      | 3      | 21983637.64 | 1.05    
100         | 1      | 4      | 22640203.20 | 1.03    
100         | 1      | 5      | 22734613.32 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/4_de_dk_es_br.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 19223.04 | 0.00    
25          | 0      | 2      | 18766.58 | 0.98    
25          | 0      | 3      | 19414.45 | 1.03    
25          | 0      | 4      | 20545.95 | 1.06    
25          | 0      | 5      | 21972.36 | 1.07    
25          | 0.01   | 1      | 21234.60 | 0.97    
25          | 0.01   | 2      | 23578.83 | 1.11    
25          | 0.01   | 3      | 25300.89 | 1.07    
25          | 0.01   | 4      | 24731.52 | 0.98    
25          | 0.01   | 5      | 24024.59 | 0.97    
25          | 0.1    | 1      | 20801.76 | 0.87    
25          | 0.1    | 2      | 22165.85 | 1.07    
25          | 0.1    | 3      | 23323.27 | 1.05    
25          | 0.1    | 4      | 23339.01 | 1.00    
25          | 0.1    | 5      | 23438.80 | 1.00    
25          | 1      | 1      | 20395.96 | 0.87    
25          | 1      | 2      | 21311.88 | 1.04    
25          | 1      | 3      | 22476.36 | 1.05    
25          | 1      | 4      | 23252.80 | 1.03    
25          | 1      | 5      | 23930.51 | 1.03    
50          | 0      | 1      | 19223.04 | 0.80    
50          | 0      | 2      | 18766.58 | 0.98    
50          | 0      | 3      | 19414.45 | 1.03    
50          | 0      | 4      | 20545.95 | 1.06    
50          | 0      | 5      | 21972.36 | 1.07    
50          | 0.01   | 1      | 21234.60 | 0.97    
50          | 0.01   | 2      | 23578.83 | 1.11    
50          | 0.01   | 3      | 25300.89 | 1.07    
50          | 0.01   | 4      | 24731.52 | 0.98    
50          | 0.01   | 5      | 24024.59 | 0.97    
50          | 0.1    | 1      | 20801.76 | 0.87    
50          | 0.1    | 2      | 22165.85 | 1.07    
50          | 0.1    | 3      | 23323.27 | 1.05    
50          | 0.1    | 4      | 23339.01 | 1.00    
50          | 0.1    | 5      | 23438.80 | 1.00    
50          | 1      | 1      | 20395.96 | 0.87    
50          | 1      | 2      | 21311.88 | 1.04    
50          | 1      | 3      | 22476.36 | 1.05    
50          | 1      | 4      | 23252.80 | 1.03    
50          | 1      | 5      | 23930.51 | 1.03    
100         | 0      | 1      | 19223.04 | 0.80    
100         | 0      | 2      | 18766.58 | 0.98    
100         | 0      | 3      | 19414.45 | 1.03    
100         | 0      | 4      | 20545.95 | 1.06    
100         | 0      | 5      | 21972.36 | 1.07    
100         | 0.01   | 1      | 21234.60 | 0.97    
100         | 0.01   | 2      | 23578.83 | 1.11    
100         | 0.01   | 3      | 25300.89 | 1.07    
100         | 0.01   | 4      | 24731.52 | 0.98    
100         | 0.01   | 5      | 24024.59 | 0.97    
100         | 0.1    | 1      | 20801.76 | 0.87    
100         | 0.1    | 2      | 22165.85 | 1.07    
100         | 0.1    | 3      | 23323.27 | 1.05    
100         | 0.1    | 4      | 23339.01 | 1.00    
100         | 0.1    | 5      | 23438.80 | 1.00    
100         | 1      | 1      | 20395.96 | 0.87    
100         | 1      | 2      | 21311.88 | 1.04    
100         | 1      | 3      | 22476.36 | 1.05    
100         | 1      | 4      | 23252.80 | 1.03    
100         | 1      | 5      | 23930.51 | 1.03    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 22688074.77 | 948.08  
25          | 0      | 2      | 22472024.60 | 0.99    
25          | 0      | 3      | 21450241.98 | 0.95    
25          | 0      | 4      | 22352071.04 | 1.04    
25          | 0      | 5      | 24131803.36 | 1.08    
25          | 0.01   | 1      | 25180095.93 | 1.04    
25          | 0.01   | 2      | 27976039.48 | 1.11    
25          | 0.01   | 3      | 30870495.79 | 1.10    
25          | 0.01   | 4      | 29083671.57 | 0.94    
25          | 0.01   | 5      | 26730682.71 | 0.92    
25          | 0.1    | 1      | 24591215.91 | 0.92    
25          | 0.1    | 2      | 26559291.20 | 1.08    
25          | 0.1    | 3      | 28256993.04 | 1.06    
25          | 0.1    | 4      | 27043943.18 | 0.96    
25          | 0.1    | 5      | 25873003.77 | 0.96    
25          | 1      | 1      | 24032673.74 | 0.93    
25          | 1      | 2      | 25850138.62 | 1.08    
25          | 1      | 3      | 27287968.53 | 1.06    
25          | 1      | 4      | 26698038.97 | 0.98    
25          | 1      | 5      | 25838050.41 | 0.97    
50          | 0      | 1      | 22688074.77 | 0.88    
50          | 0      | 2      | 22472024.60 | 0.99    
50          | 0      | 3      | 21450241.98 | 0.95    
50          | 0      | 4      | 22352071.04 | 1.04    
50          | 0      | 5      | 24131803.36 | 1.08    
50          | 0.01   | 1      | 25180095.93 | 1.04    
50          | 0.01   | 2      | 27976039.48 | 1.11    
50          | 0.01   | 3      | 30870495.79 | 1.10    
50          | 0.01   | 4      | 29083671.57 | 0.94    
50          | 0.01   | 5      | 26730682.71 | 0.92    
50          | 0.1    | 1      | 24591215.91 | 0.92    
50          | 0.1    | 2      | 26559291.20 | 1.08    
50          | 0.1    | 3      | 28256993.04 | 1.06    
50          | 0.1    | 4      | 27043943.18 | 0.96    
50          | 0.1    | 5      | 25873003.77 | 0.96    
50          | 1      | 1      | 24032673.74 | 0.93    
