Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
100         | 1      | 1      | 21940729.00 | 0.90    
100         | 1      | 2      | 23303909.59 | 1.06    
100         | 1      | 3      | 24494951.73 | 1.05    
100         | 1      | 4      | 24509065.39 | 1.00    
100         | 1      | 5      | 24336292.63 | 0.99    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_italian.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 15799066.94 | 0.65    
25          | 0      | 2      | 16888871.45 | 1.07    
25          | 0      | 3      | 17641807.26 | 1.04    
25          | 0      | 4      | 19146152.90 | 1.09    
25          | 0      | 5      | 21049191.91 | 1.10    
25          | 0.01   | 1      | 16980389.56 | 0.81    
25          | 0.01   | 2      | 19290468.94 | 1.14    
25          | 0.01   | 3      | 23516593.86 | 1.22    
25          | 0.01   | 4      | 24768287.83 | 1.05    
25          | 0.01   | 5      | 24354561.55 | 0.98    
25          | 0.1    | 1      | 16745504.67 | 0.69    
25          | 0.1    | 2      | 18681664.53 | 1.12    
25          | 0.1    | 3      | 21594180.99 | 1.16    
25          | 0.1    | 4      | 22753370.36 | 1.05    
25          | 0.1    | 5      | 23228029.22 | 1.02    
25          | 1      | 1      | 16544325.39 | 0.71    
25          | 1      | 2      | 18252312.35 | 1.10    
25          | 1      | 3      | 20689227.77 | 1.13    
25          | 1      | 4      | 22372176.34 | 1.08    
25          | 1      | 5      | 23366627.46 | 1.04    
50          | 0      | 1      | 15799066.94 | 0.68    
50          | 0      | 2      | 16888871.45 | 1.07    
50          | 0      | 3      | 17641807.26 | 1.04    
50          | 0      | 4      | 19146152.90 | 1.09    
50          | 0      | 5      | 21049191.91 | 1.10    
50          | 0.01   | 1      | 16980389.56 | 0.81    
50          | 0.01   | 2      | 19290468.94 | 1.14    
50          | 0.01   | 3      | 23516593.86 | 1.22    
50          | 0.01   | 4      | 24768287.83 | 1.05    
50          | 0.01   | 5      | 24354561.55 | 0.98    
50          | 0.1    | 1      | 16745504.67 | 0.69    
50          | 0.1    | 2      | 18681664.53 | 1.12    
50          | 0.1    | 3      | 21594180.99 | 1.16    
50          | 0.1    | 4      | 22753370.36 | 1.05    
50          | 0.1    | 5      | 23228029.22 | 1.02    
50          | 1      | 1      | 16544325.39 | 0.71    
50          | 1      | 2      | 18252312.35 | 1.10    
50          | 1      | 3      | 20689227.77 | 1.13    
50          | 1      | 4      | 22372176.34 | 1.08    
50          | 1      | 5      | 23366627.46 | 1.04    
100         | 0      | 1      | 15799066.94 | 0.68    
100         | 0      | 2      | 16888871.45 | 1.07    
100         | 0      | 3      | 17641807.26 | 1.04    
100         | 0      | 4      | 19146152.90 | 1.09    
100         | 0      | 5      | 21049191.91 | 1.10    
100         | 0.01   | 1      | 16980389.56 | 0.81    
100         | 0.01   | 2      | 19290468.94 | 1.14    
100         | 0.01   | 3      | 23516593.86 | 1.22    
100         | 0.01   | 4      | 24768287.83 | 1.05    
100         | 0.01   | 5      | 24354561.55 | 0.98    
100         | 0.1    | 1      | 16745504.67 | 0.69    
100         | 0.1    | 2      | 18681664.53 | 1.12    
100         | 0.1    | 3      | 21594180.99 | 1.16    
100         | 0.1    | 4      | 22753370.36 | 1.05    
100         | 0.1    | 5      | 23228029.22 | 1.02    
100         | 1      | 1      | 16544325.39 | 0.71    
100         | 1      | 2      | 18252312.35 | 1.10    
100         | 1      | 3      | 20689227.77 | 1.13    
100         | 1      | 4      | 22372176.34 | 1.08    
100         | 1      | 5      | 23366627.46 | 1.04    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/3_en_fr_de.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 20663.10 | 0.00    
25          | 0      | 2      | 20182.68 | 0.98    
25          | 0      | 3      | 20721.66 | 1.03    
25          | 0      | 4      | 21897.87 | 1.06    
25          | 0      | 5      | 23511.04 | 1.07    
25          | 0.01   | 1      | 22691.97 | 0.97    
25          | 0.01   | 2      | 26312.66 | 1.16    
25          | 0.01   | 3      | 29322.57 | 1.11    
25          | 0.01   | 4      | 27308.90 | 0.93    
25          | 0.01   | 5      | 25688.26 | 0.94    
25          | 0.1    | 1      | 22261.37 | 0.87    
25          | 0.1    | 2      | 24538.28 | 1.10    
25          | 0.1    | 3      | 26551.10 | 1.08    
25          | 0.1    | 4      | 25428.04 | 0.96    
25          | 0.1    | 5      | 24878.70 | 0.98    
25          | 1      | 1      | 21880.33 | 0.88    
25          | 1      | 2      | 23471.19 | 1.07    
25          | 1      | 3      | 25183.74 | 1.07    
25          | 1      | 4      | 24899.40 | 0.99    
25          | 1      | 5      | 24759.81 | 0.99    
50          | 0      | 1      | 20663.10 | 0.83    
50          | 0      | 2      | 20182.68 | 0.98    
50          | 0      | 3      | 20721.66 | 1.03    
50          | 0      | 4      | 21897.87 | 1.06    
50          | 0      | 5      | 23511.04 | 1.07    
50          | 0.01   | 1      | 22691.97 | 0.97    
50          | 0.01   | 2      | 26312.66 | 1.16    
50          | 0.01   | 3      | 29322.57 | 1.11    
50          | 0.01   | 4      | 27308.90 | 0.93    
50          | 0.01   | 5      | 25688.26 | 0.94    
50          | 0.1    | 1      | 22261.37 | 0.87    
50          | 0.1    | 2      | 24538.28 | 1.10    
50          | 0.1    | 3      | 26551.10 | 1.08    
50          | 0.1    | 4      | 25428.04 | 0.96    
50          | 0.1    | 5      | 24878.70 | 0.98    
50          | 1      | 1      | 21880.33 | 0.88    
50          | 1      | 2      | 23471.19 | 1.07    
50          | 1      | 3      | 25183.74 | 1.07    
50          | 1      | 4      | 24899.40 | 0.99    
50          | 1      | 5      | 24759.81 | 0.99    
100         | 0      | 1      | 20663.10 | 0.83    
100         | 0      | 2      | 20182.68 | 0.98    
100         | 0      | 3      | 20721.66 | 1.03    
100         | 0      | 4      | 21897.87 | 1.06    
100         | 0      | 5      | 23511.04 | 1.07    
100         | 0.01   | 1      | 22691.97 | 0.97    
100         | 0.01   | 2      | 26312.66 | 1.16    
