Lang Ref_Size Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0.1    | 25          | 989652.29 | 0.95    
1      | 0.1    | 50          | 989652.29 | 1.00    
1      | 0.1    | 100         | 989652.29 | 1.00    
1      | 1      | 25          | 938170.52 | 0.95    
1      | 1      | 50          | 938170.52 | 1.00    
1      | 1      | 100         | 938170.52 | 1.00    
2      | 0      | 25          | 748410.49 | 0.80    
2      | 0      | 50          | 748410.49 | 1.00    
2      | 0      | 100         | 748410.49 | 1.00    
2      | 0.01   | 25          | 932245.13 | 1.25    
2      | 0.01   | 50          | 932245.13 | 1.00    
2      | 0.01   | 100         | 932245.13 | 1.00    
2      | 0.1    | 25          | 873830.50 | 0.94    
2      | 0.1    | 50          | 873830.50 | 1.00    
2      | 0.1    | 100         | 873830.50 | 1.00    
2      | 1      | 25          | 845278.44 | 0.97    
2      | 1      | 50          | 845278.44 | 1.00    
2      | 1      | 100         | 845278.44 | 1.00    
3      | 0      | 25          | 757536.38 | 0.90    
3      | 0      | 50          | 757536.38 | 1.00    
3      | 0      | 100         | 757536.38 | 1.00    
3      | 0.01   | 25          | 993038.36 | 1.31    
3      | 0.01   | 50          | 993038.36 | 1.00    
3      | 0.01   | 100         | 993038.36 | 1.00    
3      | 0.1    | 25          | 915053.82 | 0.92    
3      | 0.1    | 50          | 915053.82 | 1.00    
3      | 0.1    | 100         | 915053.82 | 1.00    
3      | 1      | 25          | 885072.61 | 0.97    
3      | 1      | 50          | 885072.61 | 1.00    
3      | 1      | 100         | 885072.61 | 1.00    
4      | 0      | 25          | 810990.29 | 0.92    
4      | 0      | 50          | 810990.29 | 1.00    
4      | 0      | 100         | 810990.29 | 1.00    
4      | 0.01   | 25          | 960726.11 | 1.18    
4      | 0.01   | 50          | 960726.11 | 1.00    
4      | 0.01   | 100         | 960726.11 | 1.00    
4      | 0.1    | 25          | 906481.53 | 0.94    
4      | 0.1    | 50          | 906481.53 | 1.00    
4      | 0.1    | 100         | 906481.53 | 1.00    
4      | 1      | 25          | 895359.03 | 0.99    
4      | 1      | 50          | 895359.03 | 1.00    
4      | 1      | 100         | 895359.03 | 1.00    
5      | 0      | 25          | 859636.93 | 0.96    
5      | 0      | 50          | 859636.93 | 1.00    
5      | 0      | 100         | 859636.93 | 1.00    
5      | 0.01   | 25          | 914867.85 | 1.06    
5      | 0.01   | 50          | 914867.85 | 1.00    
5      | 0.01   | 100         | 914867.85 | 1.00    
5      | 0.1    | 25          | 894749.75 | 0.98    
5      | 0.1    | 50          | 894749.75 | 1.00    
5      | 0.1    | 100         | 894749.75 | 1.00    
5      | 1      | 25          | 895194.26 | 1.00    
5      | 1      | 50          | 895194.26 | 1.00    
5      | 1      | 100         | 895194.26 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_hungarian.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 22245380.06 | 24.85   
1      | 0      | 50          | 22245380.06 | 1.00    
1      | 0      | 100         | 22245380.06 | 1.00    
1      | 0.01   | 25          | 24817583.03 | 1.12    
1      | 0.01   | 50          | 24817583.03 | 1.00    
1      | 0.01   | 100         | 24817583.03 | 1.00    
1      | 0.1    | 25          | 24179434.26 | 0.97    
1      | 0.1    | 50          | 24179434.26 | 1.00    
1      | 0.1    | 100         | 24179434.26 | 1.00    
1      | 1      | 25          | 23603147.26 | 0.98    
1      | 1      | 50          | 23603147.26 | 1.00    
1      | 1      | 100         | 23603147.26 | 1.00    
2      | 0      | 25          | 21257537.07 | 0.90    
2      | 0      | 50          | 21257537.07 | 1.00    
2      | 0      | 100         | 21257537.07 | 1.00    
2      | 0.01   | 25          | 29670990.53 | 1.40    
2      | 0.01   | 50          | 29670990.53 | 1.00    
2      | 0.01   | 100         | 29670990.53 | 1.00    
2      | 0.1    | 25          | 27001955.98 | 0.91    
2      | 0.1    | 50          | 27001955.98 | 1.00    
2      | 0.1    | 100         | 27001955.98 | 1.00    
2      | 1      | 25          | 25351523.43 | 0.94    
2      | 1      | 50          | 25351523.43 | 1.00    
2      | 1      | 100         | 25351523.43 | 1.00    
3      | 0      | 25          | 22470829.16 | 0.89    
3      | 0      | 50          | 22470829.16 | 1.00    
3      | 0      | 100         | 22470829.16 | 1.00    
3      | 0.01   | 25          | 30159806.78 | 1.34    
3      | 0.01   | 50          | 30159806.78 | 1.00    
3      | 0.01   | 100         | 30159806.78 | 1.00    
3      | 0.1    | 25          | 27231696.03 | 0.90    
3      | 0.1    | 50          | 27231696.03 | 1.00    
3      | 0.1    | 100         | 27231696.03 | 1.00    
3      | 1      | 25          | 25730015.88 | 0.94    
3      | 1      | 50          | 25730015.88 | 1.00    
3      | 1      | 100         | 25730015.88 | 1.00    
4      | 0      | 25          | 23863406.99 | 0.93    
4      | 0      | 50          | 23863406.99 | 1.00    
4      | 0      | 100         | 23863406.99 | 1.00    
4      | 0.01   | 25          | 27187541.89 | 1.14    
4      | 0.01   | 50          | 27187541.89 | 1.00    
4      | 0.01   | 100         | 27187541.89 | 1.00    
4      | 0.1    | 25          | 25816513.79 | 0.95    
4      | 0.1    | 50          | 25816513.79 | 1.00    
4      | 0.1    | 100         | 25816513.79 | 1.00    
4      | 1      | 25          | 25270487.79 | 0.98    
4      | 1      | 50          | 25270487.79 | 1.00    
4      | 1      | 100         | 25270487.79 | 1.00    
5      | 0      | 25          | 24683690.37 | 0.98    
5      | 0      | 50          | 24683690.37 | 1.00    
5      | 0      | 100         | 24683690.37 | 1.00    
5      | 0.01   | 25          | 25677080.34 | 1.04    
5      | 0.01   | 50          | 25677080.34 | 1.00    
5      | 0.01   | 100         | 25677080.34 | 1.00    
5      | 0.1    | 25          | 25231299.49 | 0.98    
5      | 0.1    | 50          | 25231299.49 | 1.00    
5      | 0.1    | 100         | 25231299.49 | 1.00    
5      | 1      | 25          | 25128042.51 | 1.00    
5      | 1      | 50          | 25128042.51 | 1.00    
5      | 1      | 100         | 25128042.51 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_portuguese.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 15383496.07 | 0.61    
1      | 0      | 50          | 15383496.07 | 1.00    
1      | 0      | 100         | 15383496.07 | 1.00    
1      | 0.01   | 25          | 16019248.92 | 1.04    
1      | 0.01   | 50          | 16019248.92 | 1.00    
1      | 0.01   | 100         | 16019248.92 | 1.00    
1      | 0.1    | 25          | 15962061.96 | 1.00    
1      | 0.1    | 50          | 15962061.96 | 1.00    
1      | 0.1    | 100         | 15962061.96 | 1.00    
1      | 1      | 25          | 15909772.69 | 1.00    
1      | 1      | 50          | 15909772.69 | 1.00    
1      | 1      | 100         | 15909772.69 | 1.00    
2      | 0      | 25          | 15511145.11 | 0.97    
2      | 0      | 50          | 15511145.11 | 1.00    
2      | 0      | 100         | 15511145.11 | 1.00    
2      | 0.01   | 25          | 18109288.58 | 1.17    
2      | 0.01   | 50          | 18109288.58 | 1.00    
2      | 0.01   | 100         | 18109288.58 | 1.00    
2      | 0.1    | 25          | 17420610.59 | 0.96    
2      | 0.1    | 50          | 17420610.59 | 1.00    
2      | 0.1    | 100         | 17420610.59 | 1.00    
2      | 1      | 25          | 17024791.06 | 0.98    
2      | 1      | 50          | 17024791.06 | 1.00    
2      | 1      | 100         | 17024791.06 | 1.00    
3      | 0      | 25          | 16216807.50 | 0.95    
3      | 0      | 50          | 16216807.50 | 1.00    
3      | 0      | 100         | 16216807.50 | 1.00    
3      | 0.01   | 25          | 21100703.32 | 1.30    
3      | 0.01   | 50          | 21100703.32 | 1.00    
3      | 0.01   | 100         | 21100703.32 | 1.00    
3      | 0.1    | 25          | 19517143.76 | 0.92    
3      | 0.1    | 50          | 19517143.76 | 1.00    
3      | 0.1    | 100         | 19517143.76 | 1.00    
3      | 1      | 25          | 18893335.68 | 0.97    
3      | 1      | 50          | 18893335.68 | 1.00    
3      | 1      | 100         | 18893335.68 | 1.00    
4      | 0      | 25          | 17782904.72 | 0.94    
4      | 0      | 50          | 17782904.72 | 1.00    
4      | 0      | 100         | 17782904.72 | 1.00    
4      | 0.01   | 25          | 22010493.64 | 1.24    
4      | 0.01   | 50          | 22010493.64 | 1.00    
4      | 0.01   | 100         | 22010493.64 | 1.00    
4      | 0.1    | 25          | 20541862.27 | 0.93    
4      | 0.1    | 50          | 20541862.27 | 1.00    
4      | 0.1    | 100         | 20541862.27 | 1.00    
4      | 1      | 25          | 20509641.35 | 1.00    
4      | 1      | 50          | 20509641.35 | 1.00    
4      | 1      | 100         | 20509641.35 | 1.00    
5      | 0      | 25          | 19714801.74 | 0.96    
5      | 0      | 50          | 19714801.74 | 1.00    
5      | 0      | 100         | 19714801.74 | 1.00    
5      | 0.01   | 25          | 22679533.02 | 1.15    
5      | 0.01   | 50          | 22679533.02 | 1.00    
5      | 0.01   | 100         | 22679533.02 | 1.00    
5      | 0.1    | 25          | 21768455.38 | 0.96    
5      | 0.1    | 50          | 21768455.38 | 1.00    
5      | 0.1    | 100         | 21768455.38 | 1.00    
5      | 1      | 25          | 22231141.90 | 1.02    
5      | 1      | 50          | 22231141.90 | 1.00    
5      | 1      | 100         | 22231141.90 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_small_pt_en.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 1195.91  | 0.00    
1      | 0      | 50          | 1195.91  | 1.00    
1      | 0      | 100         | 1195.91  | 1.00    
1      | 0.01   | 25          | 1270.59  | 1.06    
1      | 0.01   | 50          | 1270.59  | 1.00    
1      | 0.01   | 100         | 1270.59  | 1.00    
1      | 0.1    | 25          | 1259.33  | 0.99    
1      | 0.1    | 50          | 1259.33  | 1.00    
1      | 0.1    | 100         | 1259.33  | 1.00    
1      | 1      | 25          | 1249.54  | 0.99    
1      | 1      | 50          | 1249.54  | 1.00    
1      | 1      | 100         | 1249.54  | 1.00    
2      | 0      | 25          | 1142.43  | 0.91    
2      | 0      | 50          | 1142.43  | 1.00    
2      | 0      | 100         | 1142.43  | 1.00    
2      | 0.01   | 25          | 1390.04  | 1.22    
2      | 0.01   | 50          | 1390.04  | 1.00    
2      | 0.01   | 100         | 1390.04  | 1.00    
2      | 0.1    | 25          | 1327.61  | 0.96    
2      | 0.1    | 50          | 1327.61  | 1.00    
2      | 0.1    | 100         | 1327.61  | 1.00    
2      | 1      | 25          | 1291.47  | 0.97    
2      | 1      | 50          | 1291.47  | 1.00    
2      | 1      | 100         | 1291.47  | 1.00    
3      | 0      | 25          | 1083.04  | 0.84    
3      | 0      | 50          | 1083.04  | 1.00    
3      | 0      | 100         | 1083.04  | 1.00    
3      | 0.01   | 25          | 1476.68  | 1.36    
3      | 0.01   | 50          | 1476.68  | 1.00    
3      | 0.01   | 100         | 1476.68  | 1.00    
3      | 0.1    | 25          | 1361.48  | 0.92    
3      | 0.1    | 50          | 1361.48  | 1.00    
3      | 0.1    | 100         | 1361.48  | 1.00    
3      | 1      | 25          | 1318.97  | 0.97    
3      | 1      | 50          | 1318.97  | 1.00    
3      | 1      | 100         | 1318.97  | 1.00    
4      | 0      | 25          | 1089.95  | 0.83    
4      | 0      | 50          | 1089.95  | 1.00    
4      | 0      | 100         | 1089.95  | 1.00    
4      | 0.01   | 25          | 1392.42  | 1.28    
4      | 0.01   | 50          | 1392.42  | 1.00    
4      | 0.01   | 100         | 1392.42  | 1.00    
4      | 0.1    | 25          | 1314.55  | 0.94    
4      | 0.1    | 50          | 1314.55  | 1.00    
4      | 0.1    | 100         | 1314.55  | 1.00    
4      | 1      | 25          | 1323.75  | 1.01    
4      | 1      | 50          | 1323.75  | 1.00    
4      | 1      | 100         | 1323.75  | 1.00    
5      | 0      | 25          | 1183.50  | 0.89    
5      | 0      | 50          | 1183.50  | 1.00    
5      | 0      | 100         | 1183.50  | 1.00    
5      | 0.01   | 25          | 1426.83  | 1.21    
5      | 0.01   | 50          | 1426.83  | 1.00    
5      | 0.01   | 100         | 1426.83  | 1.00    
5      | 0.1    | 25          | 1366.80  | 0.96    
5      | 0.1    | 50          | 1366.80  | 1.00    
5      | 0.1    | 100         | 1366.80  | 1.00    
5      | 1      | 25          | 1402.35  | 1.03    
5      | 1      | 50          | 1402.35  | 1.00    
5      | 1      | 100         | 1402.35  | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/1_br.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 17277.82 | 12.32   
1      | 0      | 50          | 17277.82 | 1.00    
1      | 0      | 100         | 17277.82 | 1.00    
1      | 0.01   | 25          | 19837.37 | 1.15    
1      | 0.01   | 50          | 19837.37 | 1.00    
1      | 0.01   | 100         | 19837.37 | 1.00    
1      | 0.1    | 25          | 19403.64 | 0.98    
1      | 0.1    | 50          | 19403.64 | 1.00    
1      | 0.1    | 100         | 19403.64 | 1.00    
1      | 1      | 25          | 18980.16 | 0.98    
1      | 1      | 50          | 18980.16 | 1.00    
1      | 1      | 100         | 18980.16 | 1.00    
2      | 0      | 25          | 16145.68 | 0.85    
2      | 0      | 50          | 16145.68 | 1.00    
2      | 0      | 100         | 16145.68 | 1.00    
2      | 0.01   | 25          | 20117.69 | 1.25    
2      | 0.01   | 50          | 20117.69 | 1.00    
2      | 0.01   | 100         | 20117.69 | 1.00    
2      | 0.1    | 25          | 19273.16 | 0.96    
2      | 0.1    | 50          | 19273.16 | 1.00    
2      | 0.1    | 100         | 19273.16 | 1.00    
2      | 1      | 25          | 18846.47 | 0.98    
2      | 1      | 50          | 18846.47 | 1.00    
2      | 1      | 100         | 18846.47 | 1.00    
3      | 0      | 25          | 16878.84 | 0.90    
3      | 0      | 50          | 16878.84 | 1.00    
3      | 0      | 100         | 16878.84 | 1.00    
3      | 0.01   | 25          | 22489.31 | 1.33    
3      | 0.01   | 50          | 22489.31 | 1.00    
3      | 0.01   | 100         | 22489.31 | 1.00    
3      | 0.1    | 25          | 20842.54 | 0.93    
3      | 0.1    | 50          | 20842.54 | 1.00    
3      | 0.1    | 100         | 20842.54 | 1.00    
3      | 1      | 25          | 20152.71 | 0.97    
3      | 1      | 50          | 20152.71 | 1.00    
3      | 1      | 100         | 20152.71 | 1.00    
4      | 0      | 25          | 18563.62 | 0.92    
4      | 0      | 50          | 18563.62 | 1.00    
4      | 0      | 100         | 18563.62 | 1.00    
4      | 0.01   | 25          | 23181.84 | 1.25    
4      | 0.01   | 50          | 23181.84 | 1.00    
4      | 0.01   | 100         | 23181.84 | 1.00    
4      | 0.1    | 25          | 21841.10 | 0.94    
4      | 0.1    | 50          | 21841.10 | 1.00    
4      | 0.1    | 100         | 21841.10 | 1.00    
4      | 1      | 25          | 21692.57 | 0.99    
4      | 1      | 50          | 21692.57 | 1.00    
4      | 1      | 100         | 21692.57 | 1.00    
5      | 0      | 25          | 20341.12 | 0.94    
5      | 0      | 50          | 20341.12 | 1.00    
5      | 0      | 100         | 20341.12 | 1.00    
5      | 0.01   | 25          | 23303.20 | 1.15    
5      | 0.01   | 50          | 23303.20 | 1.00    
5      | 0.01   | 100         | 23303.20 | 1.00    
5      | 0.1    | 25          | 22349.07 | 0.96    
5      | 0.1    | 50          | 22349.07 | 1.00    
5      | 0.1    | 100         | 22349.07 | 1.00    
5      | 1      | 25          | 22583.17 | 1.01    
5      | 1      | 50          | 22583.17 | 1.00    
5      | 1      | 100         | 22583.17 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_french.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 18683013.96 | 827.30  
1      | 0      | 50          | 18683013.96 | 1.00    
1      | 0      | 100         | 18683013.96 | 1.00    
1      | 0.01   | 25          | 19675287.62 | 1.05    
1      | 0.01   | 50          | 19675287.62 | 1.00    
1      | 0.01   | 100         | 19675287.62 | 1.00    
1      | 0.1    | 25          | 19431216.97 | 0.99    
1      | 0.1    | 50          | 19431216.97 | 1.00    
1      | 0.1    | 100         | 19431216.97 | 1.00    
1      | 1      | 25          | 19240505.31 | 0.99    
1      | 1      | 50          | 19240505.31 | 1.00    
1      | 1      | 100         | 19240505.31 | 1.00    
2      | 0      | 25          | 19425073.16 | 1.01    
2      | 0      | 50          | 19425073.16 | 1.00    
2      | 0      | 100         | 19425073.16 | 1.00    
2      | 0.01   | 25          | 22794270.70 | 1.17    
2      | 0.01   | 50          | 22794270.70 | 1.00    
2      | 0.01   | 100         | 22794270.70 | 1.00    
2      | 0.1    | 25          | 21794349.87 | 0.96    
2      | 0.1    | 50          | 21794349.87 | 1.00    
2      | 0.1    | 100         | 21794349.87 | 1.00    
2      | 1      | 25          | 21160259.65 | 0.97    
2      | 1      | 50          | 21160259.65 | 1.00    
2      | 1      | 100         | 21160259.65 | 1.00    
3      | 0      | 25          | 20133586.95 | 0.95    
3      | 0      | 50          | 20133586.95 | 1.00    
3      | 0      | 100         | 20133586.95 | 1.00    
3      | 0.01   | 25          | 26899542.86 | 1.34    
3      | 0.01   | 50          | 26899542.86 | 1.00    
3      | 0.01   | 100         | 26899542.86 | 1.00    
3      | 0.1    | 25          | 24601665.15 | 0.91    
3      | 0.1    | 50          | 24601665.15 | 1.00    
3      | 0.1    | 100         | 24601665.15 | 1.00    
3      | 1      | 25          | 23558449.79 | 0.96    
3      | 1      | 50          | 23558449.79 | 1.00    
3      | 1      | 100         | 23558449.79 | 1.00    
4      | 0      | 25          | 21971252.09 | 0.93    
4      | 0      | 50          | 21971252.09 | 1.00    
4      | 0      | 100         | 21971252.09 | 1.00    
4      | 0.01   | 25          | 27210697.88 | 1.24    
4      | 0.01   | 50          | 27210697.88 | 1.00    
4      | 0.01   | 100         | 27210697.88 | 1.00    
4      | 0.1    | 25          | 25330717.00 | 0.93    
4      | 0.1    | 50          | 25330717.00 | 1.00    
4      | 0.1    | 100         | 25330717.00 | 1.00    
4      | 1      | 25          | 24883944.58 | 0.98    
4      | 1      | 50          | 24883944.58 | 1.00    
4      | 1      | 100         | 24883944.58 | 1.00    
5      | 0      | 25          | 23970244.85 | 0.96    
5      | 0      | 50          | 23970244.85 | 1.00    
5      | 0      | 100         | 23970244.85 | 1.00    
5      | 0.01   | 25          | 26748493.14 | 1.12    
5      | 0.01   | 50          | 26748493.14 | 1.00    
5      | 0.01   | 100         | 26748493.14 | 1.00    
5      | 0.1    | 25          | 25746052.55 | 0.96    
5      | 0.1    | 50          | 25746052.55 | 1.00    
5      | 0.1    | 100         | 25746052.55 | 1.00    
5      | 1      | 25          | 25756699.42 | 1.00    
5      | 1      | 50          | 25756699.42 | 1.00    
5      | 1      | 100         | 25756699.42 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_danish.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 18288470.91 | 0.71    
1      | 0      | 50          | 18288470.91 | 1.00    
1      | 0      | 100         | 18288470.91 | 1.00    
1      | 0.01   | 25          | 19559584.96 | 1.07    
1      | 0.01   | 50          | 19559584.96 | 1.00    
1      | 0.01   | 100         | 19559584.96 | 1.00    
1      | 0.1    | 25          | 19240759.10 | 0.98    
1      | 0.1    | 50          | 19240759.10 | 1.00    
1      | 0.1    | 100         | 19240759.10 | 1.00    
1      | 1      | 25          | 18941613.67 | 0.98    
1      | 1      | 50          | 18941613.67 | 1.00    
1      | 1      | 100         | 18941613.67 | 1.00    
2      | 0      | 25          | 18199286.93 | 0.96    
2      | 0      | 50          | 18199286.93 | 1.00    
2      | 0      | 100         | 18199286.93 | 1.00    
2      | 0.01   | 25          | 23367889.34 | 1.28    
2      | 0.01   | 50          | 23367889.34 | 1.00    
2      | 0.01   | 100         | 23367889.34 | 1.00    
2      | 0.1    | 25          | 21851304.45 | 0.94    
2      | 0.1    | 50          | 21851304.45 | 1.00    
2      | 0.1    | 100         | 21851304.45 | 1.00    
2      | 1      | 25          | 20909036.53 | 0.96    
2      | 1      | 50          | 20909036.53 | 1.00    
2      | 1      | 100         | 20909036.53 | 1.00    
3      | 0      | 25          | 18900792.80 | 0.90    
3      | 0      | 50          | 18900792.80 | 1.00    
3      | 0      | 100         | 18900792.80 | 1.00    
3      | 0.01   | 25          | 25054196.46 | 1.33    
3      | 0.01   | 50          | 25054196.46 | 1.00    
3      | 0.01   | 100         | 25054196.46 | 1.00    
3      | 0.1    | 25          | 22939495.94 | 0.92    
3      | 0.1    | 50          | 22939495.94 | 1.00    
3      | 0.1    | 100         | 22939495.94 | 1.00    
3      | 1      | 25          | 21983637.64 | 0.96    
3      | 1      | 50          | 21983637.64 | 1.00    
3      | 1      | 100         | 21983637.64 | 1.00    
4      | 0      | 25          | 20446399.87 | 0.93    
4      | 0      | 50          | 20446399.87 | 1.00    
4      | 0      | 100         | 20446399.87 | 1.00    
4      | 0.01   | 25          | 24832604.05 | 1.21    
4      | 0.01   | 50          | 24832604.05 | 1.00    
4      | 0.01   | 100         | 24832604.05 | 1.00    
4      | 0.1    | 25          | 23168618.70 | 0.93    
4      | 0.1    | 50          | 23168618.70 | 1.00    
4      | 0.1    | 100         | 23168618.70 | 1.00    
4      | 1      | 25          | 22640203.20 | 0.98    
4      | 1      | 50          | 22640203.20 | 1.00    
4      | 1      | 100         | 22640203.20 | 1.00    
5      | 0      | 25          | 21716196.49 | 0.96    
5      | 0      | 50          | 21716196.49 | 1.00    
5      | 0      | 100         | 21716196.49 | 1.00    
5      | 0.01   | 25          | 23553854.96 | 1.08    
5      | 0.01   | 50          | 23553854.96 | 1.00    
5      | 0.01   | 100         | 23553854.96 | 1.00    
5      | 0.1    | 25          | 22816754.81 | 0.97    
5      | 0.1    | 50          | 22816754.81 | 1.00    
5      | 0.1    | 100         | 22816754.81 | 1.00    
5      | 1      | 25          | 22734613.32 | 1.00    
5      | 1      | 50          | 22734613.32 | 1.00    
5      | 1      | 100         | 22734613.32 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/4_de_dk_es_br.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 19223.04 | 0.00    
1      | 0      | 50          | 19223.04 | 1.00    
1      | 0      | 100         | 19223.04 | 1.00    
1      | 0.01   | 25          | 21234.60 | 1.10    
1      | 0.01   | 50          | 21234.60 | 1.00    
1      | 0.01   | 100         | 21234.60 | 1.00    
1      | 0.1    | 25          | 20801.76 | 0.98    
1      | 0.1    | 50          | 20801.76 | 1.00    
1      | 0.1    | 100         | 20801.76 | 1.00    
1      | 1      | 25          | 20395.96 | 0.98    
1      | 1      | 50          | 20395.96 | 1.00    
1      | 1      | 100         | 20395.96 | 1.00    
2      | 0      | 25          | 18766.58 | 0.92    
2      | 0      | 50          | 18766.58 | 1.00    
2      | 0      | 100         | 18766.58 | 1.00    
2      | 0.01   | 25          | 23578.83 | 1.26    
2      | 0.01   | 50          | 23578.83 | 1.00    
2      | 0.01   | 100         | 23578.83 | 1.00    
2      | 0.1    | 25          | 22165.85 | 0.94    
2      | 0.1    | 50          | 22165.85 | 1.00    
2      | 0.1    | 100         | 22165.85 | 1.00    
2      | 1      | 25          | 21311.88 | 0.96    
2      | 1      | 50          | 21311.88 | 1.00    
2      | 1      | 100         | 21311.88 | 1.00    
3      | 0      | 25          | 19414.45 | 0.91    
3      | 0      | 50          | 19414.45 | 1.00    
3      | 0      | 100         | 19414.45 | 1.00    
3      | 0.01   | 25          | 25300.89 | 1.30    
3      | 0.01   | 50          | 25300.89 | 1.00    
3      | 0.01   | 100         | 25300.89 | 1.00    
3      | 0.1    | 25          | 23323.27 | 0.92    
3      | 0.1    | 50          | 23323.27 | 1.00    
3      | 0.1    | 100         | 23323.27 | 1.00    
3      | 1      | 25          | 22476.36 | 0.96    
3      | 1      | 50          | 22476.36 | 1.00    
3      | 1      | 100         | 22476.36 | 1.00    
4      | 0      | 25          | 20545.95 | 0.91    
4      | 0      | 50          | 20545.95 | 1.00    
4      | 0      | 100         | 20545.95 | 1.00    
4      | 0.01   | 25          | 24731.52 | 1.20    
4      | 0.01   | 50          | 24731.52 | 1.00    
4      | 0.01   | 100         | 24731.52 | 1.00    
4      | 0.1    | 25          | 23339.01 | 0.94    
4      | 0.1    | 50          | 23339.01 | 1.00    
4      | 0.1    | 100         | 23339.01 | 1.00    
4      | 1      | 25          | 23252.80 | 1.00    
4      | 1      | 50          | 23252.80 | 1.00    
4      | 1      | 100         | 23252.80 | 1.00    
5      | 0      | 25          | 21972.36 | 0.94    
5      | 0      | 50          | 21972.36 | 1.00    
5      | 0      | 100         | 21972.36 | 1.00    
5      | 0.01   | 25          | 24024.59 | 1.09    
5      | 0.01   | 50          | 24024.59 | 1.00    
5      | 0.01   | 100         | 24024.59 | 1.00    
5      | 0.1    | 25          | 23438.80 | 0.98    
5      | 0.1    | 50          | 23438.80 | 1.00    
5      | 0.1    | 100         | 23438.80 | 1.00    
5      | 1      | 25          | 23930.51 | 1.02    
5      | 1      | 50          | 23930.51 | 1.00    
5      | 1      | 100         | 23930.51 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 22688074.77 | 948.08  
1      | 0      | 50          | 22688074.77 | 1.00    
1      | 0      | 100         | 22688074.77 | 1.00    
1      | 0.01   | 25          | 25180095.93 | 1.11    
1      | 0.01   | 50          | 25180095.93 | 1.00    
1      | 0.01   | 100         | 25180095.93 | 1.00    
1      | 0.1    | 25          | 24591215.91 | 0.98    
1      | 0.1    | 50          | 24591215.91 | 1.00    
1      | 0.1    | 100         | 24591215.91 | 1.00    
1      | 1      | 25          | 24032673.74 | 0.98    
1      | 1      | 50          | 24032673.74 | 1.00    
1      | 1      | 100         | 24032673.74 | 1.00    
2      | 0      | 25          | 22472024.60 | 0.94    
2      | 0      | 50          | 22472024.60 | 1.00    
2      | 0      | 100         | 22472024.60 | 1.00    
2      | 0.01   | 25          | 27976039.48 | 1.24    
2      | 0.01   | 50          | 27976039.48 | 1.00    
2      | 0.01   | 100         | 27976039.48 | 1.00    
2      | 0.1    | 25          | 26559291.20 | 0.95    
2      | 0.1    | 50          | 26559291.20 | 1.00    
2      | 0.1    | 100         | 26559291.20 | 1.00    
2      | 1      | 25          | 25850138.62 | 0.97    
2      | 1      | 50          | 25850138.62 | 1.00    
2      | 1      | 100         | 25850138.62 | 1.00    
3      | 0      | 25          | 21450241.98 | 0.83    
3      | 0      | 50          | 21450241.98 | 1.00    
3      | 0      | 100         | 21450241.98 | 1.00    
3      | 0.01   | 25          | 30870495.79 | 1.44    
3      | 0.01   | 50          | 30870495.79 | 1.00    
3      | 0.01   | 100         | 30870495.79 | 1.00    
3      | 0.1    | 25          | 28256993.04 | 0.92    
3      | 0.1    | 50          | 28256993.04 | 1.00    
3      | 0.1    | 100         | 28256993.04 | 1.00    
3      | 1      | 25          | 27287968.53 | 0.97    
3      | 1      | 50          | 27287968.53 | 1.00    
3      | 1      | 100         | 27287968.53 | 1.00    
4      | 0      | 25          | 22352071.04 | 0.82    
4      | 0      | 50          | 22352071.04 | 1.00    
4      | 0      | 100         | 22352071.04 | 1.00    
4      | 0.01   | 25          | 29083671.57 | 1.30    
4      | 0.01   | 50          | 29083671.57 | 1.00    
