Lang Ref_Size Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
K      | a      | ref_size(%) | res      | ratio   
5      | 0.1    | 50          | 24404715.50 | 1.00    
5      | 0.1    | 100         | 24404715.50 | 1.00    
5      | 1      | 25          | 24336292.63 | 1.00    
5      | 1      | 50          | 24336292.63 | 1.00    
5      | 1      | 100         | 24336292.63 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_italian.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 15799066.94 | 0.65    
1      | 0      | 50          | 15799066.94 | 1.00    
1      | 0      | 100         | 15799066.94 | 1.00    
1      | 0.01   | 25          | 16980389.56 | 1.07    
1      | 0.01   | 50          | 16980389.56 | 1.00    
1      | 0.01   | 100         | 16980389.56 | 1.00    
1      | 0.1    | 25          | 16745504.67 | 0.99    
1      | 0.1    | 50          | 16745504.67 | 1.00    
1      | 0.1    | 100         | 16745504.67 | 1.00    
1      | 1      | 25          | 16544325.39 | 0.99    
1      | 1      | 50          | 16544325.39 | 1.00    
1      | 1      | 100         | 16544325.39 | 1.00    
2      | 0      | 25          | 16888871.45 | 1.02    
2      | 0      | 50          | 16888871.45 | 1.00    
2      | 0      | 100         | 16888871.45 | 1.00    
2      | 0.01   | 25          | 19290468.94 | 1.14    
2      | 0.01   | 50          | 19290468.94 | 1.00    
2      | 0.01   | 100         | 19290468.94 | 1.00    
2      | 0.1    | 25          | 18681664.53 | 0.97    
2      | 0.1    | 50          | 18681664.53 | 1.00    
2      | 0.1    | 100         | 18681664.53 | 1.00    
2      | 1      | 25          | 18252312.35 | 0.98    
2      | 1      | 50          | 18252312.35 | 1.00    
2      | 1      | 100         | 18252312.35 | 1.00    
3      | 0      | 25          | 17641807.26 | 0.97    
3      | 0      | 50          | 17641807.26 | 1.00    
3      | 0      | 100         | 17641807.26 | 1.00    
3      | 0.01   | 25          | 23516593.86 | 1.33    
3      | 0.01   | 50          | 23516593.86 | 1.00    
3      | 0.01   | 100         | 23516593.86 | 1.00    
3      | 0.1    | 25          | 21594180.99 | 0.92    
3      | 0.1    | 50          | 21594180.99 | 1.00    
3      | 0.1    | 100         | 21594180.99 | 1.00    
3      | 1      | 25          | 20689227.77 | 0.96    
3      | 1      | 50          | 20689227.77 | 1.00    
3      | 1      | 100         | 20689227.77 | 1.00    
4      | 0      | 25          | 19146152.90 | 0.93    
4      | 0      | 50          | 19146152.90 | 1.00    
4      | 0      | 100         | 19146152.90 | 1.00    
4      | 0.01   | 25          | 24768287.83 | 1.29    
4      | 0.01   | 50          | 24768287.83 | 1.00    
4      | 0.01   | 100         | 24768287.83 | 1.00    
4      | 0.1    | 25          | 22753370.36 | 0.92    
4      | 0.1    | 50          | 22753370.36 | 1.00    
4      | 0.1    | 100         | 22753370.36 | 1.00    
4      | 1      | 25          | 22372176.34 | 0.98    
4      | 1      | 50          | 22372176.34 | 1.00    
4      | 1      | 100         | 22372176.34 | 1.00    
5      | 0      | 25          | 21049191.91 | 0.94    
5      | 0      | 50          | 21049191.91 | 1.00    
5      | 0      | 100         | 21049191.91 | 1.00    
5      | 0.01   | 25          | 24354561.55 | 1.16    
5      | 0.01   | 50          | 24354561.55 | 1.00    
5      | 0.01   | 100         | 24354561.55 | 1.00    
5      | 0.1    | 25          | 23228029.22 | 0.95    
5      | 0.1    | 50          | 23228029.22 | 1.00    
5      | 0.1    | 100         | 23228029.22 | 1.00    
5      | 1      | 25          | 23366627.46 | 1.01    
5      | 1      | 50          | 23366627.46 | 1.00    
5      | 1      | 100         | 23366627.46 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/3_en_fr_de.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 20663.10 | 0.00    
1      | 0      | 50          | 20663.10 | 1.00    
1      | 0      | 100         | 20663.10 | 1.00    
1      | 0.01   | 25          | 22691.97 | 1.10    
1      | 0.01   | 50          | 22691.97 | 1.00    
1      | 0.01   | 100         | 22691.97 | 1.00    
1      | 0.1    | 25          | 22261.37 | 0.98    
1      | 0.1    | 50          | 22261.37 | 1.00    
1      | 0.1    | 100         | 22261.37 | 1.00    
1      | 1      | 25          | 21880.33 | 0.98    
1      | 1      | 50          | 21880.33 | 1.00    
1      | 1      | 100         | 21880.33 | 1.00    
2      | 0      | 25          | 20182.68 | 0.92    
2      | 0      | 50          | 20182.68 | 1.00    
2      | 0      | 100         | 20182.68 | 1.00    
2      | 0.01   | 25          | 26312.66 | 1.30    
2      | 0.01   | 50          | 26312.66 | 1.00    
2      | 0.01   | 100         | 26312.66 | 1.00    
2      | 0.1    | 25          | 24538.28 | 0.93    
2      | 0.1    | 50          | 24538.28 | 1.00    
2      | 0.1    | 100         | 24538.28 | 1.00    
2      | 1      | 25          | 23471.19 | 0.96    
2      | 1      | 50          | 23471.19 | 1.00    
2      | 1      | 100         | 23471.19 | 1.00    
3      | 0      | 25          | 20721.66 | 0.88    
3      | 0      | 50          | 20721.66 | 1.00    
3      | 0      | 100         | 20721.66 | 1.00    
3      | 0.01   | 25          | 29322.57 | 1.42    
3      | 0.01   | 50          | 29322.57 | 1.00    
3      | 0.01   | 100         | 29322.57 | 1.00    
3      | 0.1    | 25          | 26551.10 | 0.91    
3      | 0.1    | 50          | 26551.10 | 1.00    
3      | 0.1    | 100         | 26551.10 | 1.00    
3      | 1      | 25          | 25183.74 | 0.95    
3      | 1      | 50          | 25183.74 | 1.00    
3      | 1      | 100         | 25183.74 | 1.00    
4      | 0      | 25          | 21897.87 | 0.87    
4      | 0      | 50          | 21897.87 | 1.00    
4      | 0      | 100         | 21897.87 | 1.00    
4      | 0.01   | 25          | 27308.90 | 1.25    
4      | 0.01   | 50          | 27308.90 | 1.00    
4      | 0.01   | 100         | 27308.90 | 1.00    
4      | 0.1    | 25          | 25428.04 | 0.93    
4      | 0.1    | 50          | 25428.04 | 1.00    
4      | 0.1    | 100         | 25428.04 | 1.00    
4      | 1      | 25          | 24899.40 | 0.98    
4      | 1      | 50          | 24899.40 | 1.00    
4      | 1      | 100         | 24899.40 | 1.00    
5      | 0      | 25          | 23511.04 | 0.94    
5      | 0      | 50          | 23511.04 | 1.00    
5      | 0      | 100         | 23511.04 | 1.00    
5      | 0.01   | 25          | 25688.26 | 1.09    
5      | 0.01   | 50          | 25688.26 | 1.00    
5      | 0.01   | 100         | 25688.26 | 1.00    
5      | 0.1    | 25          | 24878.70 | 0.97    
5      | 0.1    | 50          | 24878.70 | 1.00    
5      | 0.1    | 100         | 24878.70 | 1.00    
5      | 1      | 25          | 24759.81 | 1.00    
5      | 1      | 50          | 24759.81 | 1.00    
5      | 1      | 100         | 24759.81 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_spanish.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 14468129.08 | 584.34  
1      | 0      | 50          | 14468129.08 | 1.00    
1      | 0      | 100         | 14468129.08 | 1.00    
1      | 0.01   | 25          | 14779221.36 | 1.02    
1      | 0.01   | 50          | 14779221.36 | 1.00    
1      | 0.01   | 100         | 14779221.36 | 1.00    
1      | 0.1    | 25          | 14706162.07 | 1.00    
1      | 0.1    | 50          | 14706162.07 | 1.00    
1      | 0.1    | 100         | 14706162.07 | 1.00    
1      | 1      | 25          | 14643488.15 | 1.00    
1      | 1      | 50          | 14643488.15 | 1.00    
1      | 1      | 100         | 14643488.15 | 1.00    
2      | 0      | 25          | 13030559.68 | 0.89    
2      | 0      | 50          | 13030559.68 | 1.00    
2      | 0      | 100         | 13030559.68 | 1.00    
2      | 0.01   | 25          | 14158619.02 | 1.09    
2      | 0.01   | 50          | 14158619.02 | 1.00    
2      | 0.01   | 100         | 14158619.02 | 1.00    
2      | 0.1    | 25          | 13842985.74 | 0.98    
2      | 0.1    | 50          | 13842985.74 | 1.00    
2      | 0.1    | 100         | 13842985.74 | 1.00    
2      | 1      | 25          | 13766083.56 | 0.99    
2      | 1      | 50          | 13766083.56 | 1.00    
2      | 1      | 100         | 13766083.56 | 1.00    
3      | 0      | 25          | 12123547.40 | 0.88    
3      | 0      | 50          | 12123547.40 | 1.00    
3      | 0      | 100         | 12123547.40 | 1.00    
3      | 0.01   | 25          | 13856025.98 | 1.14    
3      | 0.01   | 50          | 13856025.98 | 1.00    
3      | 0.01   | 100         | 13856025.98 | 1.00    
3      | 0.1    | 25          | 13436949.67 | 0.97    
3      | 0.1    | 50          | 13436949.67 | 1.00    
3      | 0.1    | 100         | 13436949.67 | 1.00    
3      | 1      | 25          | 13816608.34 | 1.03    
3      | 1      | 50          | 13816608.34 | 1.00    
3      | 1      | 100         | 13816608.34 | 1.00    
4      | 0      | 25          | 12019959.27 | 0.87    
4      | 0      | 50          | 12019959.27 | 1.00    
4      | 0      | 100         | 12019959.27 | 1.00    
4      | 0.01   | 25          | 14021717.19 | 1.17    
4      | 0.01   | 50          | 14021717.19 | 1.00    
4      | 0.01   | 100         | 14021717.19 | 1.00    
4      | 0.1    | 25          | 13781072.16 | 0.98    
4      | 0.1    | 50          | 13781072.16 | 1.00    
4      | 0.1    | 100         | 13781072.16 | 1.00    
4      | 1      | 25          | 15117568.31 | 1.10    
4      | 1      | 50          | 15117568.31 | 1.00    
4      | 1      | 100         | 15117568.31 | 1.00    
5      | 0      | 25          | 12933972.08 | 0.86    
5      | 0      | 50          | 12933972.08 | 1.00    
