Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
100         | 2      | 1      | 22395.32 | 1.06    
100         | 3      | 1      | 24208.02 | 1.08    
100         | 4      | 1      | 24759.87 | 1.02    
100         | 5      | 1      | 25068.97 | 1.01    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_shakespear.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 773999.86 | 30.87   
25          | 2      | 0      | 748410.49 | 0.97    
25          | 3      | 0      | 757536.38 | 1.01    
25          | 4      | 0      | 810990.29 | 1.07    
25          | 5      | 0      | 859636.93 | 1.06    
25          | 1      | 0.01   | 1042346.32 | 1.21    
25          | 2      | 0.01   | 932245.13 | 0.89    
25          | 3      | 0.01   | 993038.36 | 1.07    
25          | 4      | 0.01   | 960726.11 | 0.97    
25          | 5      | 0.01   | 914867.85 | 0.95    
25          | 1      | 0.1    | 989652.29 | 1.08    
25          | 2      | 0.1    | 873830.50 | 0.88    
25          | 3      | 0.1    | 915053.82 | 1.05    
25          | 4      | 0.1    | 906481.53 | 0.99    
25          | 5      | 0.1    | 894749.75 | 0.99    
25          | 1      | 1      | 938170.52 | 1.05    
25          | 2      | 1      | 845278.44 | 0.90    
25          | 3      | 1      | 885072.61 | 1.05    
25          | 4      | 1      | 895359.03 | 1.01    
25          | 5      | 1      | 895194.26 | 1.00    
50          | 1      | 0      | 773999.86 | 0.86    
50          | 2      | 0      | 748410.49 | 0.97    
50          | 3      | 0      | 757536.38 | 1.01    
50          | 4      | 0      | 810990.29 | 1.07    
50          | 5      | 0      | 859636.93 | 1.06    
50          | 1      | 0.01   | 1042346.32 | 1.21    
50          | 2      | 0.01   | 932245.13 | 0.89    
50          | 3      | 0.01   | 993038.36 | 1.07    
50          | 4      | 0.01   | 960726.11 | 0.97    
50          | 5      | 0.01   | 914867.85 | 0.95    
50          | 1      | 0.1    | 989652.29 | 1.08    
50          | 2      | 0.1    | 873830.50 | 0.88    
50          | 3      | 0.1    | 915053.82 | 1.05    
50          | 4      | 0.1    | 906481.53 | 0.99    
50          | 5      | 0.1    | 894749.75 | 0.99    
50          | 1      | 1      | 938170.52 | 1.05    
50          | 2      | 1      | 845278.44 | 0.90    
50          | 3      | 1      | 885072.61 | 1.05    
50          | 4      | 1      | 895359.03 | 1.01    
50          | 5      | 1      | 895194.26 | 1.00    
100         | 1      | 0      | 773999.86 | 0.86    
100         | 2      | 0      | 748410.49 | 0.97    
100         | 3      | 0      | 757536.38 | 1.01    
100         | 4      | 0      | 810990.29 | 1.07    
100         | 5      | 0      | 859636.93 | 1.06    
100         | 1      | 0.01   | 1042346.32 | 1.21    
100         | 2      | 0.01   | 932245.13 | 0.89    
100         | 3      | 0.01   | 993038.36 | 1.07    
100         | 4      | 0.01   | 960726.11 | 0.97    
100         | 5      | 0.01   | 914867.85 | 0.95    
100         | 1      | 0.1    | 989652.29 | 1.08    
100         | 2      | 0.1    | 873830.50 | 0.88    
100         | 3      | 0.1    | 915053.82 | 1.05    
100         | 4      | 0.1    | 906481.53 | 0.99    
100         | 5      | 0.1    | 894749.75 | 0.99    
100         | 1      | 1      | 938170.52 | 1.05    
100         | 2      | 1      | 845278.44 | 0.90    
100         | 3      | 1      | 885072.61 | 1.05    
100         | 4      | 1      | 895359.03 | 1.01    
100         | 5      | 1      | 895194.26 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_hungarian.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 22245380.06 | 24.85   
25          | 2      | 0      | 21257537.07 | 0.96    
25          | 3      | 0      | 22470829.16 | 1.06    
25          | 4      | 0      | 23863406.99 | 1.06    
25          | 5      | 0      | 24683690.37 | 1.03    
25          | 1      | 0.01   | 24817583.03 | 1.01    
25          | 2      | 0.01   | 29670990.53 | 1.20    
25          | 3      | 0.01   | 30159806.78 | 1.02    
25          | 4      | 0.01   | 27187541.89 | 0.90    
25          | 5      | 0.01   | 25677080.34 | 0.94    
25          | 1      | 0.1    | 24179434.26 | 0.94    
25          | 2      | 0.1    | 27001955.98 | 1.12    
25          | 3      | 0.1    | 27231696.03 | 1.01    
25          | 4      | 0.1    | 25816513.79 | 0.95    
25          | 5      | 0.1    | 25231299.49 | 0.98    
25          | 1      | 1      | 23603147.26 | 0.94    
25          | 2      | 1      | 25351523.43 | 1.07    
25          | 3      | 1      | 25730015.88 | 1.01    
25          | 4      | 1      | 25270487.79 | 0.98    
25          | 5      | 1      | 25128042.51 | 0.99    
50          | 1      | 0      | 22245380.06 | 0.89    
50          | 2      | 0      | 21257537.07 | 0.96    
50          | 3      | 0      | 22470829.16 | 1.06    
50          | 4      | 0      | 23863406.99 | 1.06    
50          | 5      | 0      | 24683690.37 | 1.03    
50          | 1      | 0.01   | 24817583.03 | 1.01    
50          | 2      | 0.01   | 29670990.53 | 1.20    
50          | 3      | 0.01   | 30159806.78 | 1.02    
50          | 4      | 0.01   | 27187541.89 | 0.90    
50          | 5      | 0.01   | 25677080.34 | 0.94    
50          | 1      | 0.1    | 24179434.26 | 0.94    
50          | 2      | 0.1    | 27001955.98 | 1.12    
50          | 3      | 0.1    | 27231696.03 | 1.01    
50          | 4      | 0.1    | 25816513.79 | 0.95    
50          | 5      | 0.1    | 25231299.49 | 0.98    
50          | 1      | 1      | 23603147.26 | 0.94    
50          | 2      | 1      | 25351523.43 | 1.07    
50          | 3      | 1      | 25730015.88 | 1.01    
50          | 4      | 1      | 25270487.79 | 0.98    
50          | 5      | 1      | 25128042.51 | 0.99    
100         | 1      | 0      | 22245380.06 | 0.89    
100         | 2      | 0      | 21257537.07 | 0.96    
100         | 3      | 0      | 22470829.16 | 1.06    
100         | 4      | 0      | 23863406.99 | 1.06    
100         | 5      | 0      | 24683690.37 | 1.03    
100         | 1      | 0.01   | 24817583.03 | 1.01    
100         | 2      | 0.01   | 29670990.53 | 1.20    
100         | 3      | 0.01   | 30159806.78 | 1.02    
100         | 4      | 0.01   | 27187541.89 | 0.90    
100         | 5      | 0.01   | 25677080.34 | 0.94    
100         | 1      | 0.1    | 24179434.26 | 0.94    
100         | 2      | 0.1    | 27001955.98 | 1.12    
100         | 3      | 0.1    | 27231696.03 | 1.01    
100         | 4      | 0.1    | 25816513.79 | 0.95    
100         | 5      | 0.1    | 25231299.49 | 0.98    
100         | 1      | 1      | 23603147.26 | 0.94    
100         | 2      | 1      | 25351523.43 | 1.07    
100         | 3      | 1      | 25730015.88 | 1.01    
100         | 4      | 1      | 25270487.79 | 0.98    
100         | 5      | 1      | 25128042.51 | 0.99    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_portuguese.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 15383496.07 | 0.61    
25          | 2      | 0      | 15511145.11 | 1.01    
25          | 3      | 0      | 16216807.50 | 1.05    
25          | 4      | 0      | 17782904.72 | 1.10    
25          | 5      | 0      | 19714801.74 | 1.11    
25          | 1      | 0.01   | 16019248.92 | 0.81    
25          | 2      | 0.01   | 18109288.58 | 1.13    
25          | 3      | 0.01   | 21100703.32 | 1.17    
25          | 4      | 0.01   | 22010493.64 | 1.04    
25          | 5      | 0.01   | 22679533.02 | 1.03    
25          | 1      | 0.1    | 15962061.96 | 0.70    
25          | 2      | 0.1    | 17420610.59 | 1.09    
25          | 3      | 0.1    | 19517143.76 | 1.12    
25          | 4      | 0.1    | 20541862.27 | 1.05    
25          | 5      | 0.1    | 21768455.38 | 1.06    
25          | 1      | 1      | 15909772.69 | 0.73    
25          | 2      | 1      | 17024791.06 | 1.07    
25          | 3      | 1      | 18893335.68 | 1.11    
25          | 4      | 1      | 20509641.35 | 1.09    
25          | 5      | 1      | 22231141.90 | 1.08    
50          | 1      | 0      | 15383496.07 | 0.69    
50          | 2      | 0      | 15511145.11 | 1.01    
50          | 3      | 0      | 16216807.50 | 1.05    
50          | 4      | 0      | 17782904.72 | 1.10    
50          | 5      | 0      | 19714801.74 | 1.11    
50          | 1      | 0.01   | 16019248.92 | 0.81    
50          | 2      | 0.01   | 18109288.58 | 1.13    
50          | 3      | 0.01   | 21100703.32 | 1.17    
50          | 4      | 0.01   | 22010493.64 | 1.04    
50          | 5      | 0.01   | 22679533.02 | 1.03    
50          | 1      | 0.1    | 15962061.96 | 0.70    
50          | 2      | 0.1    | 17420610.59 | 1.09    
50          | 3      | 0.1    | 19517143.76 | 1.12    
50          | 4      | 0.1    | 20541862.27 | 1.05    
50          | 5      | 0.1    | 21768455.38 | 1.06    
50          | 1      | 1      | 15909772.69 | 0.73    
50          | 2      | 1      | 17024791.06 | 1.07    
50          | 3      | 1      | 18893335.68 | 1.11    
50          | 4      | 1      | 20509641.35 | 1.09    
50          | 5      | 1      | 22231141.90 | 1.08    
100         | 1      | 0      | 15383496.07 | 0.69    
100         | 2      | 0      | 15511145.11 | 1.01    
100         | 3      | 0      | 16216807.50 | 1.05    
100         | 4      | 0      | 17782904.72 | 1.10    
100         | 5      | 0      | 19714801.74 | 1.11    
100         | 1      | 0.01   | 16019248.92 | 0.81    
100         | 2      | 0.01   | 18109288.58 | 1.13    
100         | 3      | 0.01   | 21100703.32 | 1.17    
100         | 4      | 0.01   | 22010493.64 | 1.04    
100         | 5      | 0.01   | 22679533.02 | 1.03    
100         | 1      | 0.1    | 15962061.96 | 0.70    
100         | 2      | 0.1    | 17420610.59 | 1.09    
100         | 3      | 0.1    | 19517143.76 | 1.12    
100         | 4      | 0.1    | 20541862.27 | 1.05    
100         | 5      | 0.1    | 21768455.38 | 1.06    
100         | 1      | 1      | 15909772.69 | 0.73    
100         | 2      | 1      | 17024791.06 | 1.07    
100         | 3      | 1      | 18893335.68 | 1.11    
100         | 4      | 1      | 20509641.35 | 1.09    
100         | 5      | 1      | 22231141.90 | 1.08    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_small_pt_en.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 1195.91  | 0.00    
25          | 2      | 0      | 1142.43  | 0.96    
25          | 3      | 0      | 1083.04  | 0.95    
25          | 4      | 0      | 1089.95  | 1.01    
25          | 5      | 0      | 1183.50  | 1.09    
25          | 1      | 0.01   | 1270.59  | 1.07    
25          | 2      | 0.01   | 1390.04  | 1.09    
25          | 3      | 0.01   | 1476.68  | 1.06    
25          | 4      | 0.01   | 1392.42  | 0.94    
25          | 5      | 0.01   | 1426.83  | 1.02    
25          | 1      | 0.1    | 1259.33  | 0.88    
25          | 2      | 0.1    | 1327.61  | 1.05    
25          | 3      | 0.1    | 1361.48  | 1.03    
25          | 4      | 0.1    | 1314.55  | 0.97    
25          | 5      | 0.1    | 1366.80  | 1.04    
25          | 1      | 1      | 1249.54  | 0.91    
25          | 2      | 1      | 1291.47  | 1.03    
25          | 3      | 1      | 1318.97  | 1.02    
25          | 4      | 1      | 1323.75  | 1.00    
25          | 5      | 1      | 1402.35  | 1.06    
50          | 1      | 0      | 1195.91  | 0.85    
50          | 2      | 0      | 1142.43  | 0.96    
50          | 3      | 0      | 1083.04  | 0.95    
50          | 4      | 0      | 1089.95  | 1.01    
50          | 5      | 0      | 1183.50  | 1.09    
50          | 1      | 0.01   | 1270.59  | 1.07    
50          | 2      | 0.01   | 1390.04  | 1.09    
50          | 3      | 0.01   | 1476.68  | 1.06    
50          | 4      | 0.01   | 1392.42  | 0.94    
50          | 5      | 0.01   | 1426.83  | 1.02    
50          | 1      | 0.1    | 1259.33  | 0.88    
50          | 2      | 0.1    | 1327.61  | 1.05    
50          | 3      | 0.1    | 1361.48  | 1.03    
50          | 4      | 0.1    | 1314.55  | 0.97    
50          | 5      | 0.1    | 1366.80  | 1.04    
50          | 1      | 1      | 1249.54  | 0.91    
50          | 2      | 1      | 1291.47  | 1.03    
50          | 3      | 1      | 1318.97  | 1.02    
50          | 4      | 1      | 1323.75  | 1.00    
50          | 5      | 1      | 1402.35  | 1.06    
100         | 1      | 0      | 1195.91  | 0.85    
100         | 2      | 0      | 1142.43  | 0.96    
100         | 3      | 0      | 1083.04  | 0.95    
100         | 4      | 0      | 1089.95  | 1.01    
100         | 5      | 0      | 1183.50  | 1.09    
100         | 1      | 0.01   | 1270.59  | 1.07    
100         | 2      | 0.01   | 1390.04  | 1.09    
100         | 3      | 0.01   | 1476.68  | 1.06    
100         | 4      | 0.01   | 1392.42  | 0.94    
100         | 5      | 0.01   | 1426.83  | 1.02    
100         | 1      | 0.1    | 1259.33  | 0.88    
100         | 2      | 0.1    | 1327.61  | 1.05    
100         | 3      | 0.1    | 1361.48  | 1.03    
100         | 4      | 0.1    | 1314.55  | 0.97    
100         | 5      | 0.1    | 1366.80  | 1.04    
100         | 1      | 1      | 1249.54  | 0.91    
100         | 2      | 1      | 1291.47  | 1.03    
100         | 3      | 1      | 1318.97  | 1.02    
100         | 4      | 1      | 1323.75  | 1.00    
100         | 5      | 1      | 1402.35  | 1.06    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/1_br.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 17277.82 | 12.32   
25          | 2      | 0      | 16145.68 | 0.93    
25          | 3      | 0      | 16878.84 | 1.05    
25          | 4      | 0      | 18563.62 | 1.10    
25          | 5      | 0      | 20341.12 | 1.10    
25          | 1      | 0.01   | 19837.37 | 0.98    
25          | 2      | 0.01   | 20117.69 | 1.01    
25          | 3      | 0.01   | 22489.31 | 1.12    
25          | 4      | 0.01   | 23181.84 | 1.03    
25          | 5      | 0.01   | 23303.20 | 1.01    
25          | 1      | 0.1    | 19403.64 | 0.83    
25          | 2      | 0.1    | 19273.16 | 0.99    
25          | 3      | 0.1    | 20842.54 | 1.08    
25          | 4      | 0.1    | 21841.10 | 1.05    
25          | 5      | 0.1    | 22349.07 | 1.02    
25          | 1      | 1      | 18980.16 | 0.85    
25          | 2      | 1      | 18846.47 | 0.99    
25          | 3      | 1      | 20152.71 | 1.07    
25          | 4      | 1      | 21692.57 | 1.08    
25          | 5      | 1      | 22583.17 | 1.04    
50          | 1      | 0      | 17277.82 | 0.77    
50          | 2      | 0      | 16145.68 | 0.93    
50          | 3      | 0      | 16878.84 | 1.05    
50          | 4      | 0      | 18563.62 | 1.10    
50          | 5      | 0      | 20341.12 | 1.10    
50          | 1      | 0.01   | 19837.37 | 0.98    
50          | 2      | 0.01   | 20117.69 | 1.01    
50          | 3      | 0.01   | 22489.31 | 1.12    
50          | 4      | 0.01   | 23181.84 | 1.03    
50          | 5      | 0.01   | 23303.20 | 1.01    
50          | 1      | 0.1    | 19403.64 | 0.83    
50          | 2      | 0.1    | 19273.16 | 0.99    
50          | 3      | 0.1    | 20842.54 | 1.08    
50          | 4      | 0.1    | 21841.10 | 1.05    
50          | 5      | 0.1    | 22349.07 | 1.02    
50          | 1      | 1      | 18980.16 | 0.85    
50          | 2      | 1      | 18846.47 | 0.99    
50          | 3      | 1      | 20152.71 | 1.07    
50          | 4      | 1      | 21692.57 | 1.08    
50          | 5      | 1      | 22583.17 | 1.04    
100         | 1      | 0      | 17277.82 | 0.77    
100         | 2      | 0      | 16145.68 | 0.93    
100         | 3      | 0      | 16878.84 | 1.05    
100         | 4      | 0      | 18563.62 | 1.10    
100         | 5      | 0      | 20341.12 | 1.10    
100         | 1      | 0.01   | 19837.37 | 0.98    
100         | 2      | 0.01   | 20117.69 | 1.01    
100         | 3      | 0.01   | 22489.31 | 1.12    
100         | 4      | 0.01   | 23181.84 | 1.03    
100         | 5      | 0.01   | 23303.20 | 1.01    
100         | 1      | 0.1    | 19403.64 | 0.83    
100         | 2      | 0.1    | 19273.16 | 0.99    
100         | 3      | 0.1    | 20842.54 | 1.08    
100         | 4      | 0.1    | 21841.10 | 1.05    
100         | 5      | 0.1    | 22349.07 | 1.02    
100         | 1      | 1      | 18980.16 | 0.85    
100         | 2      | 1      | 18846.47 | 0.99    
100         | 3      | 1      | 20152.71 | 1.07    
100         | 4      | 1      | 21692.57 | 1.08    
100         | 5      | 1      | 22583.17 | 1.04    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_french.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 18683013.96 | 827.30  
25          | 2      | 0      | 19425073.16 | 1.04    
25          | 3      | 0      | 20133586.95 | 1.04    
25          | 4      | 0      | 21971252.09 | 1.09    
25          | 5      | 0      | 23970244.85 | 1.09    
25          | 1      | 0.01   | 19675287.62 | 0.82    
25          | 2      | 0.01   | 22794270.70 | 1.16    
25          | 3      | 0.01   | 26899542.86 | 1.18    
25          | 4      | 0.01   | 27210697.88 | 1.01    
25          | 5      | 0.01   | 26748493.14 | 0.98    
25          | 1      | 0.1    | 19431216.97 | 0.73    
25          | 2      | 0.1    | 21794349.87 | 1.12    
25          | 3      | 0.1    | 24601665.15 | 1.13    
25          | 4      | 0.1    | 25330717.00 | 1.03    
25          | 5      | 0.1    | 25746052.55 | 1.02    
25          | 1      | 1      | 19240505.31 | 0.75    
25          | 2      | 1      | 21160259.65 | 1.10    
25          | 3      | 1      | 23558449.79 | 1.11    
25          | 4      | 1      | 24883944.58 | 1.06    
25          | 5      | 1      | 25756699.42 | 1.04    
50          | 1      | 0      | 18683013.96 | 0.73    
50          | 2      | 0      | 19425073.16 | 1.04    
50          | 3      | 0      | 20133586.95 | 1.04    
50          | 4      | 0      | 21971252.09 | 1.09    
50          | 5      | 0      | 23970244.85 | 1.09    
50          | 1      | 0.01   | 19675287.62 | 0.82    
50          | 2      | 0.01   | 22794270.70 | 1.16    
50          | 3      | 0.01   | 26899542.86 | 1.18    
50          | 4      | 0.01   | 27210697.88 | 1.01    
50          | 5      | 0.01   | 26748493.14 | 0.98    
50          | 1      | 0.1    | 19431216.97 | 0.73    
50          | 2      | 0.1    | 21794349.87 | 1.12    
50          | 3      | 0.1    | 24601665.15 | 1.13    
50          | 4      | 0.1    | 25330717.00 | 1.03    
50          | 5      | 0.1    | 25746052.55 | 1.02    
50          | 1      | 1      | 19240505.31 | 0.75    
50          | 2      | 1      | 21160259.65 | 1.10    
50          | 3      | 1      | 23558449.79 | 1.11    
50          | 4      | 1      | 24883944.58 | 1.06    
50          | 5      | 1      | 25756699.42 | 1.04    
100         | 1      | 0      | 18683013.96 | 0.73    
100         | 2      | 0      | 19425073.16 | 1.04    
100         | 3      | 0      | 20133586.95 | 1.04    
100         | 4      | 0      | 21971252.09 | 1.09    
100         | 5      | 0      | 23970244.85 | 1.09    
100         | 1      | 0.01   | 19675287.62 | 0.82    
100         | 2      | 0.01   | 22794270.70 | 1.16    
100         | 3      | 0.01   | 26899542.86 | 1.18    
100         | 4      | 0.01   | 27210697.88 | 1.01    
100         | 5      | 0.01   | 26748493.14 | 0.98    
100         | 1      | 0.1    | 19431216.97 | 0.73    
100         | 2      | 0.1    | 21794349.87 | 1.12    
100         | 3      | 0.1    | 24601665.15 | 1.13    
100         | 4      | 0.1    | 25330717.00 | 1.03    
100         | 5      | 0.1    | 25746052.55 | 1.02    
100         | 1      | 1      | 19240505.31 | 0.75    
100         | 2      | 1      | 21160259.65 | 1.10    
100         | 3      | 1      | 23558449.79 | 1.11    
100         | 4      | 1      | 24883944.58 | 1.06    
100         | 5      | 1      | 25756699.42 | 1.04    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_danish.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 18288470.91 | 0.71    
25          | 2      | 0      | 18199286.93 | 1.00    
25          | 3      | 0      | 18900792.80 | 1.04    
25          | 4      | 0      | 20446399.87 | 1.08    
25          | 5      | 0      | 21716196.49 | 1.06    
25          | 1      | 0.01   | 19559584.96 | 0.90    
25          | 2      | 0.01   | 23367889.34 | 1.19    
25          | 3      | 0.01   | 25054196.46 | 1.07    
25          | 4      | 0.01   | 24832604.05 | 0.99    
25          | 5      | 0.01   | 23553854.96 | 0.95    
25          | 1      | 0.1    | 19240759.10 | 0.82    
25          | 2      | 0.1    | 21851304.45 | 1.14    
25          | 3      | 0.1    | 22939495.94 | 1.05    
25          | 4      | 0.1    | 23168618.70 | 1.01    
25          | 5      | 0.1    | 22816754.81 | 0.98    
25          | 1      | 1      | 18941613.67 | 0.83    
25          | 2      | 1      | 20909036.53 | 1.10    
25          | 3      | 1      | 21983637.64 | 1.05    
25          | 4      | 1      | 22640203.20 | 1.03    
25          | 5      | 1      | 22734613.32 | 1.00    
50          | 1      | 0      | 18288470.91 | 0.80    
50          | 2      | 0      | 18199286.93 | 1.00    
50          | 3      | 0      | 18900792.80 | 1.04    
50          | 4      | 0      | 20446399.87 | 1.08    
50          | 5      | 0      | 21716196.49 | 1.06    
50          | 1      | 0.01   | 19559584.96 | 0.90    
50          | 2      | 0.01   | 23367889.34 | 1.19    
50          | 3      | 0.01   | 25054196.46 | 1.07    
50          | 4      | 0.01   | 24832604.05 | 0.99    
50          | 5      | 0.01   | 23553854.96 | 0.95    
50          | 1      | 0.1    | 19240759.10 | 0.82    
50          | 2      | 0.1    | 21851304.45 | 1.14    
50          | 3      | 0.1    | 22939495.94 | 1.05    
50          | 4      | 0.1    | 23168618.70 | 1.01    
50          | 5      | 0.1    | 22816754.81 | 0.98    
50          | 1      | 1      | 18941613.67 | 0.83    
50          | 2      | 1      | 20909036.53 | 1.10    
50          | 3      | 1      | 21983637.64 | 1.05    
50          | 4      | 1      | 22640203.20 | 1.03    
50          | 5      | 1      | 22734613.32 | 1.00    
100         | 1      | 0      | 18288470.91 | 0.80    
100         | 2      | 0      | 18199286.93 | 1.00    
100         | 3      | 0      | 18900792.80 | 1.04    
100         | 4      | 0      | 20446399.87 | 1.08    
100         | 5      | 0      | 21716196.49 | 1.06    
100         | 1      | 0.01   | 19559584.96 | 0.90    
100         | 2      | 0.01   | 23367889.34 | 1.19    
100         | 3      | 0.01   | 25054196.46 | 1.07    
100         | 4      | 0.01   | 24832604.05 | 0.99    
100         | 5      | 0.01   | 23553854.96 | 0.95    
100         | 1      | 0.1    | 19240759.10 | 0.82    
100         | 2      | 0.1    | 21851304.45 | 1.14    
100         | 3      | 0.1    | 22939495.94 | 1.05    
100         | 4      | 0.1    | 23168618.70 | 1.01    
100         | 5      | 0.1    | 22816754.81 | 0.98    
100         | 1      | 1      | 18941613.67 | 0.83    
100         | 2      | 1      | 20909036.53 | 1.10    
100         | 3      | 1      | 21983637.64 | 1.05    
100         | 4      | 1      | 22640203.20 | 1.03    
100         | 5      | 1      | 22734613.32 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/4_de_dk_es_br.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 19223.04 | 0.00    
25          | 2      | 0      | 18766.58 | 0.98    
25          | 3      | 0      | 19414.45 | 1.03    
25          | 4      | 0      | 20545.95 | 1.06    
25          | 5      | 0      | 21972.36 | 1.07    
25          | 1      | 0.01   | 21234.60 | 0.97    
25          | 2      | 0.01   | 23578.83 | 1.11    
25          | 3      | 0.01   | 25300.89 | 1.07    
25          | 4      | 0.01   | 24731.52 | 0.98    
25          | 5      | 0.01   | 24024.59 | 0.97    
25          | 1      | 0.1    | 20801.76 | 0.87    
25          | 2      | 0.1    | 22165.85 | 1.07    
25          | 3      | 0.1    | 23323.27 | 1.05    
25          | 4      | 0.1    | 23339.01 | 1.00    
25          | 5      | 0.1    | 23438.80 | 1.00    
25          | 1      | 1      | 20395.96 | 0.87    
25          | 2      | 1      | 21311.88 | 1.04    
25          | 3      | 1      | 22476.36 | 1.05    
25          | 4      | 1      | 23252.80 | 1.03    
25          | 5      | 1      | 23930.51 | 1.03    
50          | 1      | 0      | 19223.04 | 0.80    
50          | 2      | 0      | 18766.58 | 0.98    
50          | 3      | 0      | 19414.45 | 1.03    
50          | 4      | 0      | 20545.95 | 1.06    
50          | 5      | 0      | 21972.36 | 1.07    
50          | 1      | 0.01   | 21234.60 | 0.97    
50          | 2      | 0.01   | 23578.83 | 1.11    
50          | 3      | 0.01   | 25300.89 | 1.07    
50          | 4      | 0.01   | 24731.52 | 0.98    
50          | 5      | 0.01   | 24024.59 | 0.97    
50          | 1      | 0.1    | 20801.76 | 0.87    
50          | 2      | 0.1    | 22165.85 | 1.07    
50          | 3      | 0.1    | 23323.27 | 1.05    
50          | 4      | 0.1    | 23339.01 | 1.00    
50          | 5      | 0.1    | 23438.80 | 1.00    
50          | 1      | 1      | 20395.96 | 0.87    
50          | 2      | 1      | 21311.88 | 1.04    
50          | 3      | 1      | 22476.36 | 1.05    
50          | 4      | 1      | 23252.80 | 1.03    
50          | 5      | 1      | 23930.51 | 1.03    
100         | 1      | 0      | 19223.04 | 0.80    
100         | 2      | 0      | 18766.58 | 0.98    
100         | 3      | 0      | 19414.45 | 1.03    
100         | 4      | 0      | 20545.95 | 1.06    
100         | 5      | 0      | 21972.36 | 1.07    
100         | 1      | 0.01   | 21234.60 | 0.97    
100         | 2      | 0.01   | 23578.83 | 1.11    
100         | 3      | 0.01   | 25300.89 | 1.07    
100         | 4      | 0.01   | 24731.52 | 0.98    
100         | 5      | 0.01   | 24024.59 | 0.97    
100         | 1      | 0.1    | 20801.76 | 0.87    
100         | 2      | 0.1    | 22165.85 | 1.07    
100         | 3      | 0.1    | 23323.27 | 1.05    
100         | 4      | 0.1    | 23339.01 | 1.00    
100         | 5      | 0.1    | 23438.80 | 1.00    
100         | 1      | 1      | 20395.96 | 0.87    
100         | 2      | 1      | 21311.88 | 1.04    
100         | 3      | 1      | 22476.36 | 1.05    
100         | 4      | 1      | 23252.80 | 1.03    
100         | 5      | 1      | 23930.51 | 1.03    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 22688074.77 | 948.08  
25          | 2      | 0      | 22472024.60 | 0.99    
25          | 3      | 0      | 21450241.98 | 0.95    
25          | 4      | 0      | 22352071.04 | 1.04    
25          | 5      | 0      | 24131803.36 | 1.08    
25          | 1      | 0.01   | 25180095.93 | 1.04    
25          | 2      | 0.01   | 27976039.48 | 1.11    
25          | 3      | 0.01   | 30870495.79 | 1.10    
25          | 4      | 0.01   | 29083671.57 | 0.94    
25          | 5      | 0.01   | 26730682.71 | 0.92    
25          | 1      | 0.1    | 24591215.91 | 0.92    
25          | 2      | 0.1    | 26559291.20 | 1.08    
25          | 3      | 0.1    | 28256993.04 | 1.06    
25          | 4      | 0.1    | 27043943.18 | 0.96    
25          | 5      | 0.1    | 25873003.77 | 0.96    
25          | 1      | 1      | 24032673.74 | 0.93    
25          | 2      | 1      | 25850138.62 | 1.08    
25          | 3      | 1      | 27287968.53 | 1.06    
25          | 4      | 1      | 26698038.97 | 0.98    
25          | 5      | 1      | 25838050.41 | 0.97    
50          | 1      | 0      | 22688074.77 | 0.88    
50          | 2      | 0      | 22472024.60 | 0.99    
50          | 3      | 0      | 21450241.98 | 0.95    
50          | 4      | 0      | 22352071.04 | 1.04    
50          | 5      | 0      | 24131803.36 | 1.08    
50          | 1      | 0.01   | 25180095.93 | 1.04    
50          | 2      | 0.01   | 27976039.48 | 1.11    
50          | 3      | 0.01   | 30870495.79 | 1.10    
50          | 4      | 0.01   | 29083671.57 | 0.94    
