Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
100         | 1      | 1      | 21940729.00 | 0.90    
100         | 2      | 1      | 23303909.59 | 1.06    
100         | 3      | 1      | 24494951.73 | 1.05    
100         | 4      | 1      | 24509065.39 | 1.00    
100         | 5      | 1      | 24336292.63 | 0.99    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_italian.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 15799066.94 | 0.65    
25          | 2      | 0      | 16888871.45 | 1.07    
25          | 3      | 0      | 17641807.26 | 1.04    
25          | 4      | 0      | 19146152.90 | 1.09    
25          | 5      | 0      | 21049191.91 | 1.10    
25          | 1      | 0.01   | 16980389.56 | 0.81    
25          | 2      | 0.01   | 19290468.94 | 1.14    
25          | 3      | 0.01   | 23516593.86 | 1.22    
25          | 4      | 0.01   | 24768287.83 | 1.05    
25          | 5      | 0.01   | 24354561.55 | 0.98    
25          | 1      | 0.1    | 16745504.67 | 0.69    
25          | 2      | 0.1    | 18681664.53 | 1.12    
25          | 3      | 0.1    | 21594180.99 | 1.16    
25          | 4      | 0.1    | 22753370.36 | 1.05    
25          | 5      | 0.1    | 23228029.22 | 1.02    
25          | 1      | 1      | 16544325.39 | 0.71    
25          | 2      | 1      | 18252312.35 | 1.10    
25          | 3      | 1      | 20689227.77 | 1.13    
25          | 4      | 1      | 22372176.34 | 1.08    
25          | 5      | 1      | 23366627.46 | 1.04    
50          | 1      | 0      | 15799066.94 | 0.68    
50          | 2      | 0      | 16888871.45 | 1.07    
50          | 3      | 0      | 17641807.26 | 1.04    
50          | 4      | 0      | 19146152.90 | 1.09    
50          | 5      | 0      | 21049191.91 | 1.10    
50          | 1      | 0.01   | 16980389.56 | 0.81    
50          | 2      | 0.01   | 19290468.94 | 1.14    
50          | 3      | 0.01   | 23516593.86 | 1.22    
50          | 4      | 0.01   | 24768287.83 | 1.05    
50          | 5      | 0.01   | 24354561.55 | 0.98    
50          | 1      | 0.1    | 16745504.67 | 0.69    
50          | 2      | 0.1    | 18681664.53 | 1.12    
50          | 3      | 0.1    | 21594180.99 | 1.16    
50          | 4      | 0.1    | 22753370.36 | 1.05    
50          | 5      | 0.1    | 23228029.22 | 1.02    
50          | 1      | 1      | 16544325.39 | 0.71    
50          | 2      | 1      | 18252312.35 | 1.10    
50          | 3      | 1      | 20689227.77 | 1.13    
50          | 4      | 1      | 22372176.34 | 1.08    
50          | 5      | 1      | 23366627.46 | 1.04    
100         | 1      | 0      | 15799066.94 | 0.68    
100         | 2      | 0      | 16888871.45 | 1.07    
100         | 3      | 0      | 17641807.26 | 1.04    
100         | 4      | 0      | 19146152.90 | 1.09    
100         | 5      | 0      | 21049191.91 | 1.10    
100         | 1      | 0.01   | 16980389.56 | 0.81    
100         | 2      | 0.01   | 19290468.94 | 1.14    
100         | 3      | 0.01   | 23516593.86 | 1.22    
100         | 4      | 0.01   | 24768287.83 | 1.05    
100         | 5      | 0.01   | 24354561.55 | 0.98    
100         | 1      | 0.1    | 16745504.67 | 0.69    
100         | 2      | 0.1    | 18681664.53 | 1.12    
100         | 3      | 0.1    | 21594180.99 | 1.16    
100         | 4      | 0.1    | 22753370.36 | 1.05    
100         | 5      | 0.1    | 23228029.22 | 1.02    
100         | 1      | 1      | 16544325.39 | 0.71    
100         | 2      | 1      | 18252312.35 | 1.10    
100         | 3      | 1      | 20689227.77 | 1.13    
100         | 4      | 1      | 22372176.34 | 1.08    
