k,a,ref,res,ratio
1,1,2500,24453662.37,0.9784487603220747
1,1,5000,24723543.12,1.0110364143381276
1,1,7500,24752684.68,1.0011786967530727
1,1,10000,24823850.95,1.0028750929816312
