k,a,ref,res,ratio
5,0.5,2500,25365659.1,0.9861820899154535
5,0.5,5000,25493256.72,1.0050303293715714
5,0.5,7500,25664396.3,1.006713131314672
5,0.5,10000,25726538.0,1.0024213193746545
