ref,a,k,res,ratio
5000,0,1,21066852.83,0.8130440923710929
5000,0,2,21238315.07,1.0081389584568528
5000,0,3,21096849.62,0.9933391396853404
5000,0,4,21368700.75,1.0128858637614917
5000,0,5,23212254.29,1.0862735437951228
