ref,k,a,res,ratio
7500,1,0,23221240.13,0.9018097250882083
7500,1,0.01,26036066.48,1.1212177443685907
7500,1,0.1,25403186.69,0.9756921887380279
7500,1,0.3,25119236.25,0.9888222511819047
7500,1,0.5,24992276.92,0.9949457328743425
7500,1,1,24823850.95,0.9932608793292771
