ref,a,k,res,ratio
2500,0.1,1,25042533.28,0.9294149040761849
2500,0.1,2,25636185.07,1.023705740284435
2500,0.1,3,28977111.09,1.1303207170207872
2500,0.1,4,27905842.05,0.9630305092639241
2500,0.1,5,26102001.09,0.935359737335
