ref,a,k,res,ratio
7500,1,1,24724896.23,0.9495791838173084
7500,1,2,25288255.36,1.0227850958305114
7500,1,3,27700188.36,1.0953775958706549
7500,1,4,27457838.69,0.9912509739338106
7500,1,5,26085416.59,0.9500171111246337
