k,a,ref,res,ratio
4,0.01,2500,29087786.8,1.2646328545488452
4,0.01,5000,29489794.33,1.0138204921799
4,0.01,7500,30047385.35,1.0189079318004184
4,0.01,10000,30235700.69,1.0062672787600802
