k,a,ref,res,ratio
2,1,2500,25564680.56,1.0091792551101275
2,1,5000,25731904.03,1.0065411914538704
2,1,7500,25113767.43,0.975977813407071
2,1,10000,25288255.36,1.0069478994135928
