k,a,ref,res,ratio
3,0.3,2500,27156339.79,0.9371651889539689
3,0.3,5000,27482913.31,1.0120256824934948
3,0.3,7500,27922715.71,1.0160027576057584
3,0.3,10000,28131563.55,1.0074794959834514
