ref,a,k,res,ratio
7500,0,1,22464620.37,0.8689672627388476
7500,0,2,21078995.4,0.9383196801379999
7500,0,3,22168019.73,1.0516639578563598
7500,0,4,22821372.91,1.0294727805170534
7500,0,5,24278212.95,1.0638366519729245
