ref,a,k,res,ratio
5000,0.01,1,24296446.91,1.000751042098426
5000,0.01,2,28215663.63,1.1613082248000186
5000,0.01,3,32066787.26,1.1364888552862296
5000,0.01,4,29142725.19,0.9088133760862454
5000,0.01,5,26689148.49,0.9158082614442001
