k,a,ref,res,ratio
5,1,2500,25267447.03,0.9782910168877409
5,1,5000,25666238.64,1.0157828216489981
5,1,7500,25788706.2,1.0047715429486086
5,1,10000,25891723.77,1.003994677716713
