k,a,ref,res,ratio
3,0.1,2500,27375598.49,0.8966887354862497
3,0.1,5000,27653100.29,1.0101368304368348
3,0.1,7500,27705378.08,1.0018904856761723
3,0.1,10000,28004461.67,1.0107951455900148
