k,a,ref,res,ratio
1,0.01,2500,29862682.59,1.2516939597342576
1,0.01,5000,25579723.6,0.8565782234368249
1,0.01,7500,25461645.37,0.9953839129833287
1,0.01,10000,25207399.22,0.9900145435887829
