k,a,ref,res,ratio
3,0.3,2500,26044092.09,0.9786574812493973
3,0.3,5000,26707121.88,1.025457972875721
3,0.3,7500,25876367.67,0.9688939072606653
3,0.3,10000,25950068.76,1.002848200757537
