k,a,ref,res,ratio
1,0.3,2500,21905501.53,1.0377476629653521
1,0.3,5000,21902666.55,0.9998705813698847
1,0.3,7500,21052021.02,0.9611624672247955
1,0.3,10000,20998889.11,0.9974761610797593
