k,a,ref,res,ratio
5,1,2500,25167865.91,0.9719494842119719
5,1,5000,25434176.42,1.0105813703455162
5,1,7500,25851104.0,1.0163924151942325
5,1,10000,25999412.69,1.0057370350604755
