ref,k,a,res,ratio
7500,1,0,22076101.53,0.8563778073022372
7500,1,0.01,24244189.83,1.0982097449159538
7500,1,0.1,23701133.54,0.9776005593996787
7500,1,0.3,23452570.03,0.989512589784767
7500,1,0.5,23340443.42,0.9952190054285492
7500,1,1,23190986.35,0.9935966482165487
