ref,k,a,res,ratio
2500,1,0,22464620.37,0.8724259775388951
2500,1,0.01,24296446.91,1.0815427329654002
2500,1,0.1,23852194.79,0.9817153462131472
2500,1,0.3,23652924.65,0.9916456266706515
2500,1,0.5,23565405.11,0.9962998427765254
2500,1,1,23452409.2,0.9952050088053843
