k,a,ref,res,ratio
1,1,2500,21911102.28,0.9368912323379632
1,1,5000,23132262.62,1.0557324923408646
1,1,7500,23348985.28,1.0093688483292864
1,1,10000,23278672.99,0.9969886361588386
