ref,k,a,res,ratio
10000,2,0,22621796.9,0.9698471376213623
10000,2,0.01,27465792.99,1.2141295897674689
10000,2,0.1,26227376.38,0.9549105823942206
10000,2,0.3,25879660.23,0.986742244250357
10000,2,0.5,25770535.74,0.9957833878408688
10000,2,1,25664967.97,0.9959035477156907
