ref,a,k,res,ratio
7500,0.1,1,23599990.4,0.8598783724574653
7500,0.1,2,23377792.06,0.9905848122717881
7500,0.1,3,25772074.09,1.1024169444169485
7500,0.1,4,26380268.31,1.0235989628881281
7500,0.1,5,25955662.05,0.9839043994924402
