ref,a,k,res,ratio
5000,1,1,16104760.78,1.1565295939256488
5000,1,2,13769362.98,0.8549871164245881
5000,1,3,13019782.51,0.9455617176271142
5000,1,4,13266332.97,1.0189366035731116
5000,1,5,14650514.04,1.1043378809449556
