k,a,ref,res,ratio
4,0,2500,22570818.75,0.8710032463509858
4,0,5000,22396685.54,0.9922850290931515
4,0,7500,21454958.08,0.9579523738761213
4,0,10000,21368700.75,0.9959796085511625
