k,a,ref,res,ratio
2,1,2500,22440412.97,0.9771439625915801
2,1,5000,23004780.39,1.025149600444274
2,1,7500,23386296.46,1.0165842083050636
2,1,10000,22838010.02,0.9765552257948242
