ref,a,k,res,ratio
5000,0.5,1,24992276.92,0.971665502068951
5000,0.5,2,27531297.83,1.1015922205938808
5000,0.5,3,28555897.64,1.0372158194766803
5000,0.5,4,26920555.54,0.9427318965554324
5000,0.5,5,25726538.0,0.9556466233311618
