ref,a,k,res,ratio
10000,0,1,23221240.13,0.9018097250882083
10000,0,2,23672802.41,1.019446088041466
10000,0,3,22321480.34,0.9429166836018887
10000,0,4,23040649.64,1.032218709917337
10000,0,5,24543197.15,1.065212896922467
