ref,a,k,res,ratio
5000,0.1,1,24788751.53,0.9087346538683192
5000,0.1,2,26980665.46,1.0884237323266275
5000,0.1,3,28666348.07,1.0624774289759122
5000,0.1,4,27693708.7,0.9660703425624734
5000,0.1,5,26155260.97,0.944447753579498
