ref,k,a,res,ratio
7500,2,0,20791659.47,0.9953366803219901
7500,2,0.01,23771219.63,1.1433055482800287
7500,2,0.1,23002191.75,0.9676487831937128
7500,2,0.3,22775710.16,0.9901539126157402
7500,2,0.5,22703848.18,0.9968447973962099
7500,2,1,22634404.07,0.9969413066256683
