k,a,ref,res,ratio
5,0.5,2500,25337705.78,0.9830172075311705
5,0.5,5000,25571975.08,1.009245876561757
5,0.5,7500,25681371.27,1.0042779718679438
5,0.5,10000,25768347.69,1.0033867513960053
