k,a,ref,res,ratio
5,0,2500,24830297.39,0.9239513246064492
5,0,5000,24741672.38,0.9964307713029771
5,0,7500,24698711.43,0.9982636198014356
5,0,10000,24660646.02,0.9984588098813219
