ref,a,k,res,ratio
10000,0.5,1,23440801.87,0.9014232104194
10000,0.5,2,25770535.74,1.099387976696379
10000,0.5,3,27435071.25,1.0645906444007827
10000,0.5,4,27000670.63,0.9841662295664714
10000,0.5,5,26013560.34,0.9634412676808392
