ref,a,k,res,ratio
10000,0.5,1,23340443.42,0.9055301893740627
10000,0.5,2,27082459.24,1.1603232531903627
10000,0.5,3,28494929.89,1.0521544457053524
10000,0.5,4,26860938.8,0.942656778019537
10000,0.5,5,25768347.69,0.9593241651702806
